#mod db: cub_bb4
#run db: cub_bb4_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.635,1,0.338,3,0.021,66,0.003,45,0.001
3,1,0.997,45,0.001,8,0.001,3,0.001,2,0.000
6,1,0.881,65,0.082,2,0.026,45,0.009,60,0.000
10,1,0.778,3,0.187,2,0.034,23,0.000,8,0.000
12,1,0.983,72,0.006,2,0.003,23,0.002,65,0.001
13,3,0.165,142,0.100,60,0.084,61,0.081,1,0.047
14,1,0.966,45,0.022,3,0.010,2,0.001,72,0.000
16,1,0.864,3,0.117,23,0.006,72,0.004,2,0.003
17,1,0.999,3,0.000,8,0.000,2,0.000,46,0.000
19,1,0.999,45,0.000,8,0.000,3,0.000,2,0.000
22,1,0.983,62,0.005,2,0.005,65,0.002,45,0.001
24,1,0.995,2,0.002,8,0.001,62,0.000,65,0.000
25,1,0.812,72,0.067,2,0.054,3,0.052,23,0.004
26,3,0.665,1,0.324,45,0.009,71,0.001,61,0.001
27,1,0.627,72,0.168,3,0.109,2,0.065,23,0.018
28,1,0.912,8,0.032,23,0.021,3,0.020,49,0.005
29,1,0.989,3,0.005,2,0.004,72,0.001,45,0.000
33,3,0.353,1,0.352,72,0.232,23,0.019,8,0.011
34,1,0.999,45,0.000,2,0.000,3,0.000,8,0.000
38,1,0.984,23,0.006,3,0.004,2,0.003,8,0.002
39,1,0.999,3,0.001,2,0.000,45,0.000,23,0.000
44,1,0.986,3,0.011,45,0.002,72,0.000,8,0.000
45,1,0.988,3,0.010,2,0.001,23,0.001,8,0.000
47,1,0.469,25,0.179,2,0.158,23,0.116,100,0.060
48,2,0.960,1,0.025,3,0.015,45,0.001,71,0.000
50,3,0.780,1,0.209,2,0.008,71,0.002,45,0.000
52,3,0.973,1,0.008,2,0.008,143,0.005,72,0.004
54,1,0.990,3,0.003,23,0.002,8,0.001,2,0.001
57,1,0.999,2,0.001,23,0.000,45,0.000,3,0.000
59,1,0.999,45,0.001,2,0.000,8,0.000,3,0.000
61,1,0.625,2,0.195,3,0.149,71,0.007,44,0.006
63,2,0.989,66,0.006,3,0.002,59,0.001,1,0.001
65,2,0.994,66,0.004,65,0.001,59,0.001,84,0.000
68,2,0.999,71,0.001,1,0.000,3,0.000,59,0.000
70,2,0.447,145,0.132,62,0.105,101,0.082,143,0.072
71,2,0.964,65,0.020,59,0.013,66,0.002,84,0.001
76,2,0.997,66,0.002,71,0.000,59,0.000,3,0.000
79,2,0.997,1,0.003,3,0.000,59,0.000,66,0.000
82,2,0.784,45,0.083,59,0.072,65,0.041,1,0.004
83,2,1.000,71,0.000,72,0.000,65,0.000,59,0.000
85,2,0.996,66,0.001,65,0.001,45,0.000,59,0.000
87,84,0.978,45,0.009,59,0.004,65,0.004,63,0.002
88,52,0.207,34,0.120,100,0.059,110,0.043,1,0.041
90,2,0.988,66,0.011,59,0.001,71,0.000,65,0.000
91,2,0.516,66,0.362,143,0.049,62,0.032,3,0.010
92,2,0.988,66,0.007,65,0.003,1,0.001,59,0.000
93,2,0.999,66,0.001,59,0.000,3,0.000,71,0.000
94,2,0.944,66,0.052,59,0.003,71,0.000,3,0.000
95,3,0.893,143,0.060,71,0.014,2,0.011,145,0.005
98,2,0.980,59,0.012,65,0.002,45,0.002,66,0.001
100,2,0.990,66,0.005,1,0.002,3,0.001,71,0.001
101,3,0.532,1,0.322,2,0.045,72,0.016,145,0.015
103,2,0.964,3,0.018,1,0.009,59,0.005,143,0.002
106,2,0.988,3,0.006,66,0.005,1,0.000,84,0.000
107,2,0.995,66,0.003,1,0.001,59,0.001,101,0.000
108,2,1.000,1,0.000,72,0.000,71,0.000,3,0.000
112,2,0.952,59,0.028,71,0.011,66,0.004,3,0.001
114,2,0.924,1,0.061,100,0.008,3,0.004,101,0.002
118,2,0.989,63,0.005,84,0.002,59,0.001,62,0.001
119,2,0.987,59,0.008,65,0.002,66,0.001,45,0.001
126,3,0.999,2,0.000,45,0.000,71,0.000,84,0.000
129,28,0.261,3,0.149,2,0.098,62,0.096,71,0.057
130,3,0.996,1,0.003,2,0.001,71,0.000,72,0.000
132,3,1.000,1,0.000,45,0.000,86,0.000,2,0.000
133,3,0.948,2,0.049,1,0.003,71,0.000,72,0.000
134,3,0.993,45,0.002,143,0.001,72,0.001,1,0.001
135,3,0.994,72,0.005,71,0.000,1,0.000,86,0.000
139,3,0.996,45,0.002,1,0.001,2,0.000,71,0.000
144,3,0.850,61,0.094,66,0.042,142,0.006,9,0.005
146,3,0.438,71,0.296,2,0.141,62,0.058,66,0.023
147,3,0.997,45,0.001,1,0.000,71,0.000,5,0.000
149,3,0.992,72,0.005,1,0.002,45,0.000,143,0.000
150,3,0.996,1,0.002,2,0.000,71,0.000,135,0.000
154,45,0.523,3,0.253,1,0.172,71,0.016,2,0.014
155,3,0.997,1,0.002,71,0.001,2,0.000,72,0.000
156,3,0.903,1,0.093,45,0.001,23,0.001,49,0.000
157,3,0.868,1,0.129,72,0.001,2,0.001,45,0.000
161,3,0.968,1,0.025,2,0.002,71,0.002,72,0.001
162,3,0.766,1,0.183,2,0.030,72,0.012,135,0.003
163,3,0.891,1,0.093,23,0.008,71,0.002,2,0.002
165,3,0.996,45,0.003,63,0.000,2,0.000,1,0.000
167,3,0.992,72,0.007,71,0.001,2,0.001,1,0.000
169,3,0.991,1,0.009,72,0.000,2,0.000,86,0.000
170,3,0.983,142,0.010,71,0.004,1,0.002,72,0.001
171,3,0.991,45,0.005,1,0.001,86,0.000,49,0.000
