Loss,Acc,VLoss,Vacc,ETime,GTime
4.596,0.134,2.648,0.383,34.496,26.300
1.896,0.530,1.256,0.671,33.188,25.624
0.932,0.748,0.856,0.761,32.351,25.762
0.578,0.842,0.734,0.798,32.137,25.713
0.353,0.909,0.674,0.798,32.199,25.697
0.252,0.940,0.624,0.812,32.728,25.734
0.182,0.962,0.622,0.818,32.211,25.717
0.141,0.970,0.624,0.821,32.221,25.715
0.104,0.982,0.604,0.831,32.172,25.711
0.087,0.985,0.621,0.825,32.157,25.707
0.072,0.989,0.599,0.831,32.942,25.723
0.058,0.992,0.612,0.838,32.302,25.715
0.048,0.992,0.614,0.839,32.153,25.706
0.042,0.996,0.614,0.845,32.093,25.718
0.038,0.996,0.597,0.847,32.150,25.703
0.034,0.997,0.619,0.840,33.407,25.730
0.031,0.996,0.607,0.844,33.318,25.732
0.030,0.996,0.594,0.850,32.694,25.718
0.027,0.997,0.613,0.843,32.184,25.712
0.026,0.997,0.610,0.847,32.136,25.704
