#mod db: cub_bb4
#run db: cub_bb4_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.473,2,0.307,3,0.168,45,0.029,66,0.008
3,1,0.998,3,0.001,45,0.000,8,0.000,23,0.000
6,1,0.552,45,0.348,2,0.058,65,0.034,72,0.002
10,3,0.437,2,0.248,1,0.226,66,0.042,71,0.008
12,1,0.867,3,0.124,72,0.004,2,0.001,71,0.001
13,3,0.497,71,0.123,66,0.105,2,0.069,62,0.043
14,1,0.798,45,0.117,3,0.076,2,0.003,71,0.001
16,1,0.980,3,0.008,72,0.003,2,0.003,45,0.002
17,1,0.995,3,0.003,71,0.000,45,0.000,2,0.000
19,1,0.995,2,0.002,45,0.001,3,0.001,8,0.000
22,1,0.924,2,0.043,71,0.007,45,0.007,3,0.005
24,1,0.993,2,0.002,45,0.001,71,0.001,3,0.001
25,1,0.733,2,0.092,72,0.073,3,0.065,65,0.007
26,1,0.642,3,0.334,45,0.021,58,0.001,8,0.001
27,1,0.826,2,0.103,3,0.053,72,0.014,71,0.001
28,1,0.715,3,0.182,8,0.020,72,0.016,23,0.015
29,1,0.804,3,0.110,72,0.028,58,0.020,23,0.013
33,3,0.646,1,0.285,72,0.021,45,0.017,2,0.007
34,1,0.987,3,0.006,2,0.005,45,0.001,66,0.000
38,1,0.867,3,0.080,45,0.024,72,0.014,2,0.009
39,1,0.994,3,0.005,45,0.001,2,0.000,72,0.000
44,1,0.837,3,0.154,45,0.008,2,0.001,72,0.000
45,1,0.910,3,0.081,23,0.003,58,0.002,8,0.002
47,100,0.893,101,0.050,2,0.019,1,0.017,25,0.005
48,2,0.398,3,0.366,1,0.193,71,0.039,72,0.001
50,1,0.870,3,0.111,2,0.007,45,0.004,23,0.003
52,3,0.983,1,0.005,44,0.004,71,0.001,72,0.001
54,1,0.955,3,0.033,2,0.004,72,0.003,23,0.002
57,1,0.944,72,0.019,2,0.015,45,0.015,3,0.003
