#mod db: cub_bb4
#run db: cub_bb4_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.863,3,0.085,2,0.041,66,0.002,44,0.001
3,1,0.999,3,0.000,8,0.000,45,0.000,23,0.000
6,1,0.990,45,0.008,72,0.001,2,0.001,65,0.000
10,3,0.664,1,0.162,2,0.140,66,0.009,44,0.004
12,1,0.987,3,0.012,72,0.001,23,0.000,8,0.000
13,3,0.317,2,0.226,1,0.159,71,0.125,66,0.052
14,1,0.982,3,0.013,45,0.003,72,0.000,2,0.000
16,1,0.986,3,0.006,23,0.003,8,0.002,72,0.001
17,1,0.997,3,0.001,49,0.000,8,0.000,2,0.000
19,1,0.999,3,0.000,8,0.000,45,0.000,2,0.000
22,1,0.999,2,0.000,45,0.000,3,0.000,65,0.000
24,1,1.000,2,0.000,3,0.000,45,0.000,8,0.000
25,1,0.763,3,0.138,72,0.027,58,0.015,23,0.013
26,1,0.806,3,0.191,45,0.002,8,0.000,58,0.000
27,1,0.762,3,0.211,2,0.020,72,0.004,45,0.001
28,1,0.787,3,0.202,8,0.002,23,0.001,49,0.001
29,1,0.741,3,0.192,58,0.045,72,0.009,49,0.005
33,3,0.748,1,0.170,72,0.042,45,0.015,8,0.010
34,1,0.997,3,0.002,2,0.001,45,0.001,8,0.000
38,1,0.927,3,0.022,45,0.012,72,0.012,23,0.011
39,1,0.998,3,0.002,45,0.000,2,0.000,8,0.000
44,1,0.978,3,0.013,45,0.009,2,0.000,8,0.000
45,1,0.980,3,0.008,23,0.004,8,0.003,58,0.001
47,100,0.835,44,0.039,101,0.036,2,0.033,1,0.027
48,3,0.961,1,0.032,71,0.003,2,0.002,72,0.000
50,1,0.937,3,0.054,2,0.004,23,0.002,72,0.001
52,3,0.984,72,0.004,143,0.004,44,0.003,1,0.001
54,1,0.547,3,0.431,2,0.009,72,0.005,71,0.003
57,1,1.000,23,0.000,72,0.000,3,0.000,45,0.000
59,1,0.985,2,0.011,45,0.003,72,0.001,3,0.000
61,3,0.735,1,0.130,2,0.071,72,0.018,45,0.016
63,2,0.978,3,0.006,66,0.006,59,0.004,44,0.002
65,2,0.998,65,0.001,84,0.000,1,0.000,66,0.000
68,2,1.000,44,0.000,100,0.000,1,0.000,66,0.000
70,3,0.397,62,0.267,2,0.210,143,0.067,59,0.016
71,2,0.949,59,0.018,65,0.014,66,0.009,44,0.006
76,2,0.999,84,0.000,44,0.000,3,0.000,66,0.000
79,2,0.998,3,0.000,1,0.000,72,0.000,44,0.000
82,2,0.793,66,0.056,84,0.046,63,0.021,3,0.019
83,2,1.000,44,0.000,100,0.000,65,0.000,72,0.000
85,2,0.993,84,0.002,66,0.001,44,0.001,101,0.001
87,84,0.900,66,0.028,45,0.024,59,0.016,2,0.014
88,110,0.225,2,0.086,71,0.072,199,0.062,3,0.054
90,2,0.964,66,0.021,59,0.012,44,0.001,84,0.000
91,2,0.876,66,0.070,62,0.016,84,0.007,65,0.006
92,2,0.998,1,0.001,3,0.000,66,0.000,65,0.000
93,2,0.999,66,0.000,44,0.000,3,0.000,59,0.000
94,2,0.884,59,0.086,66,0.022,44,0.003,3,0.002
95,3,0.617,143,0.103,44,0.060,71,0.047,62,0.023
98,2,0.948,65,0.021,59,0.011,66,0.008,3,0.002
100,2,0.991,66,0.004,65,0.002,44,0.001,1,0.001
101,3,0.384,1,0.186,2,0.071,143,0.069,72,0.053
103,2,0.975,3,0.012,44,0.007,1,0.004,66,0.000
106,2,0.995,66,0.002,44,0.001,84,0.001,59,0.000
107,2,1.000,44,0.000,66,0.000,1,0.000,3,0.000
108,2,0.999,3,0.000,72,0.000,84,0.000,71,0.000
112,2,0.864,59,0.076,71,0.027,66,0.014,44,0.005
114,2,0.920,1,0.041,3,0.021,66,0.008,72,0.002
118,2,0.994,84,0.002,59,0.002,3,0.001,62,0.000
119,2,0.713,59,0.215,66,0.039,65,0.018,84,0.006
126,3,0.998,2,0.001,45,0.000,84,0.000,71,0.000
129,3,0.692,71,0.044,28,0.038,135,0.034,2,0.019
130,3,0.965,1,0.031,2,0.002,66,0.001,58,0.000
132,3,1.000,71,0.000,1,0.000,66,0.000,2,0.000
133,3,0.998,71,0.002,2,0.000,1,0.000,142,0.000
134,3,0.999,1,0.000,45,0.000,71,0.000,58,0.000
135,3,0.990,1,0.008,72,0.001,2,0.001,71,0.000
139,3,0.992,45,0.002,135,0.001,2,0.001,1,0.001
144,3,0.999,66,0.001,1,0.000,58,0.000,2,0.000
146,3,0.967,71,0.021,142,0.002,135,0.001,91,0.001
147,3,0.992,1,0.006,45,0.001,66,0.000,2,0.000
149,3,0.997,1,0.002,45,0.000,71,0.000,72,0.000
150,3,0.840,62,0.119,45,0.008,71,0.005,66,0.004
154,3,0.601,1,0.346,2,0.023,58,0.010,45,0.006
155,3,0.952,2,0.032,1,0.013,71,0.002,45,0.000
156,3,0.986,1,0.013,45,0.000,71,0.000,72,0.000
157,3,0.936,1,0.060,45,0.004,2,0.000,72,0.000
161,3,0.972,1,0.016,2,0.009,45,0.001,72,0.001
162,3,0.910,1,0.073,45,0.013,72,0.001,2,0.001
163,3,0.740,1,0.258,45,0.000,2,0.000,8,0.000
165,3,0.997,2,0.002,1,0.000,45,0.000,71,0.000
167,3,0.991,2,0.004,1,0.004,72,0.000,71,0.000
169,3,1.000,1,0.000,71,0.000,45,0.000,62,0.000
170,3,0.995,142,0.002,71,0.001,1,0.001,45,0.000
171,3,0.938,45,0.043,152,0.005,5,0.003,8,0.002
173,3,1.000,1,0.000,45,0.000,2,0.000,62,0.000
175,3,1.000,71,0.000,1,0.000,2,0.000,45,0.000
178,3,0.737,1,0.260,45,0.001,2,0.001,72,0.001
179,4,0.979,27,0.014,29,0.002,30,0.001,107,0.001
180,4,1.000,27,0.000,29,0.000,26,0.000,52,0.000
183,4,0.991,187,0.001,39,0.001,52,0.001,160,0.001
185,4,0.987,27,0.007,107,0.003,29,0.002,30,0.000
186,4,0.739,27,0.145,128,0.030,150,0.016,74,0.012
190,4,0.998,29,0.001,27,0.000,26,0.000,107,0.000
191,4,0.983,30,0.009,13,0.003,10,0.001,32,0.001
192,4,0.990,30,0.003,27,0.002,29,0.001,108,0.001
193,4,0.989,30,0.006,27,0.004,29,0.000,108,0.000
198,4,0.969,27,0.006,187,0.003,30,0.002,188,0.002
199,4,0.999,27,0.000,29,0.000,30,0.000,107,0.000
200,4,0.995,107,0.001,27,0.001,30,0.001,108,0.001
201,4,0.996,29,0.002,27,0.001,107,0.001,26,0.000
205,4,0.987,107,0.010,29,0.001,108,0.001,27,0.000
207,4,0.985,27,0.013,43,0.001,26,0.000,54,0.000
208,4,0.996,27,0.001,26,0.000,13,0.000,52,0.000
210,27,0.523,13,0.305,10,0.089,4,0.049,188,0.013
