Loss,Acc,VLoss,Vacc,ETime,GTime
4.296,0.162,2.152,0.463,44.490,36.428
1.487,0.621,0.976,0.732,43.446,36.062
0.696,0.814,0.791,0.779,43.475,35.980
0.404,0.891,0.722,0.807,43.162,35.993
0.239,0.946,0.673,0.811,43.509,36.018
0.168,0.964,0.649,0.822,43.365,36.004
0.112,0.979,0.625,0.829,42.671,36.010
0.083,0.988,0.655,0.831,42.515,35.974
0.062,0.991,0.643,0.829,42.493,36.011
0.052,0.993,0.646,0.827,42.610,35.997
0.046,0.993,0.630,0.838,43.210,36.023
0.041,0.995,0.655,0.830,42.604,35.997
0.034,0.996,0.643,0.834,42.543,35.984
0.026,0.999,0.633,0.844,42.508,36.012
0.024,0.998,0.647,0.833,42.610,36.020
0.023,0.998,0.660,0.834,42.941,36.029
0.021,0.998,0.652,0.835,42.734,36.016
0.020,0.998,0.649,0.833,42.710,36.033
0.018,0.998,0.652,0.842,42.627,36.005
0.017,0.999,0.648,0.838,42.729,36.002
