#mod db: cub_bby
#run db: cub_bby_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.526,1,0.316,3,0.129,66,0.018,45,0.004
3,1,0.991,3,0.006,45,0.003,8,0.000,72,0.000
6,1,0.928,2,0.068,65,0.001,62,0.001,72,0.000
10,3,0.545,1,0.433,2,0.011,178,0.002,49,0.002
12,1,0.968,3,0.017,72,0.009,23,0.003,2,0.001
13,3,0.195,71,0.193,60,0.132,62,0.075,66,0.075
14,1,0.973,3,0.023,45,0.004,2,0.000,71,0.000
16,1,0.602,3,0.354,23,0.032,2,0.003,72,0.002
17,1,0.999,62,0.000,2,0.000,49,0.000,3,0.000
19,1,0.998,3,0.001,45,0.000,2,0.000,8,0.000
22,1,0.940,62,0.037,2,0.006,71,0.002,65,0.002
24,1,0.996,45,0.001,62,0.001,2,0.001,3,0.000
25,1,0.881,3,0.093,2,0.013,45,0.007,72,0.004
26,1,0.767,3,0.210,45,0.014,71,0.002,8,0.001
27,1,0.726,3,0.143,2,0.113,72,0.012,23,0.003
28,1,0.803,3,0.083,23,0.066,49,0.031,91,0.003
29,1,0.973,3,0.025,2,0.001,23,0.000,44,0.000
33,3,0.559,72,0.236,1,0.123,23,0.025,58,0.016
34,1,0.996,2,0.002,3,0.001,45,0.000,46,0.000
38,1,0.595,23,0.214,3,0.083,72,0.049,8,0.015
39,1,0.965,3,0.034,2,0.000,45,0.000,23,0.000
44,1,0.971,3,0.024,2,0.003,45,0.001,72,0.000
45,1,0.520,3,0.468,2,0.009,23,0.001,45,0.001
47,1,0.991,3,0.004,62,0.001,23,0.001,71,0.001
48,1,0.423,3,0.377,2,0.180,71,0.018,45,0.001
50,1,0.689,3,0.259,71,0.037,45,0.008,72,0.003
52,3,0.953,1,0.017,72,0.011,44,0.006,2,0.005
54,1,0.890,3,0.085,72,0.012,142,0.003,2,0.003
57,1,0.999,2,0.001,3,0.000,45,0.000,72,0.000
59,1,0.999,45,0.001,3,0.000,2,0.000,72,0.000
61,1,0.457,2,0.252,3,0.234,71,0.028,62,0.016
63,2,0.990,59,0.003,3,0.002,66,0.002,1,0.001
65,2,0.989,59,0.006,66,0.002,84,0.001,101,0.001
68,2,0.999,59,0.001,1,0.000,71,0.000,3,0.000
70,59,0.498,2,0.242,62,0.155,145,0.058,143,0.010
71,2,0.949,59,0.041,66,0.004,65,0.004,44,0.000
76,2,0.998,59,0.001,66,0.000,3,0.000,62,0.000
79,2,0.983,1,0.008,59,0.004,66,0.003,3,0.002
82,142,0.187,59,0.160,2,0.152,62,0.110,65,0.096
83,2,1.000,59,0.000,65,0.000,44,0.000,71,0.000
85,2,0.924,66,0.036,65,0.010,59,0.005,101,0.004
87,84,0.576,62,0.119,59,0.103,65,0.094,45,0.051
88,34,0.136,52,0.095,2,0.070,71,0.065,4,0.057
90,2,0.987,66,0.007,59,0.006,65,0.000,62,0.000
91,2,0.349,66,0.237,59,0.089,143,0.087,62,0.058
92,2,0.983,66,0.013,65,0.002,59,0.001,1,0.000
93,2,0.999,3,0.001,59,0.000,1,0.000,45,0.000
94,2,0.970,59,0.016,66,0.012,65,0.001,71,0.000
95,3,0.534,143,0.344,62,0.038,145,0.023,2,0.016
98,2,0.976,59,0.016,66,0.004,71,0.001,3,0.000
100,2,0.802,1,0.092,45,0.077,3,0.011,66,0.009
101,3,0.341,2,0.337,1,0.201,101,0.022,45,0.020
103,2,0.553,59,0.200,3,0.137,66,0.031,143,0.021
106,66,0.505,3,0.223,2,0.196,44,0.014,1,0.008
107,2,0.994,59,0.001,1,0.001,66,0.001,62,0.001
108,2,1.000,1,0.000,3,0.000,59,0.000,71,0.000
112,2,0.629,59,0.342,66,0.024,71,0.003,3,0.000
114,2,0.983,1,0.016,3,0.001,59,0.000,66,0.000
118,2,0.996,59,0.003,62,0.000,3,0.000,84,0.000
119,2,0.904,59,0.063,66,0.020,65,0.008,71,0.001
126,3,0.987,45,0.007,84,0.004,9,0.000,59,0.000
129,3,0.999,9,0.001,71,0.000,45,0.000,58,0.000
130,3,0.998,1,0.001,2,0.000,72,0.000,58,0.000
132,3,0.999,45,0.000,1,0.000,142,0.000,2,0.000
133,3,0.976,1,0.013,2,0.010,71,0.001,72,0.000
134,3,0.986,45,0.010,143,0.001,1,0.001,142,0.000
135,3,0.998,72,0.001,45,0.001,142,0.000,1,0.000
139,3,0.977,45,0.005,9,0.005,142,0.002,148,0.001
144,3,0.851,142,0.079,61,0.039,9,0.012,66,0.011
146,3,0.992,1,0.003,71,0.001,45,0.001,2,0.001
147,3,0.997,45,0.001,142,0.000,5,0.000,9,0.000
149,3,0.993,72,0.004,1,0.001,45,0.000,71,0.000
150,3,0.979,1,0.010,45,0.003,62,0.002,186,0.001
154,1,0.465,3,0.246,71,0.220,46,0.016,186,0.010
155,3,0.999,1,0.001,2,0.000,71,0.000,142,0.000
156,3,0.981,1,0.010,45,0.003,49,0.002,23,0.001
157,3,0.973,1,0.026,45,0.000,2,0.000,72,0.000
161,3,0.854,1,0.132,45,0.006,142,0.002,72,0.002
162,3,0.945,1,0.036,72,0.011,45,0.004,142,0.002
163,3,0.835,1,0.138,23,0.007,142,0.006,49,0.006
165,3,0.994,45,0.004,63,0.002,84,0.000,143,0.000
167,3,0.998,72,0.001,68,0.000,142,0.000,44,0.000
169,3,0.999,1,0.001,71,0.000,142,0.000,45,0.000
170,3,0.964,142,0.034,58,0.001,45,0.000,72,0.000
171,3,0.994,45,0.002,9,0.002,58,0.001,11,0.000
173,3,0.992,1,0.005,72,0.001,2,0.000,45,0.000
175,3,0.999,45,0.000,5,0.000,1,0.000,9,0.000
178,3,0.991,72,0.003,1,0.003,45,0.002,23,0.000
179,4,0.897,30,0.080,27,0.006,40,0.003,29,0.003
180,4,0.848,27,0.126,30,0.011,107,0.003,29,0.003
183,4,0.988,187,0.003,170,0.003,98,0.001,54,0.001
185,4,0.997,30,0.001,27,0.001,29,0.000,26,0.000
186,4,0.983,30,0.011,27,0.004,128,0.000,26,0.000
190,4,0.973,107,0.020,27,0.002,30,0.002,29,0.001
191,4,0.539,30,0.459,27,0.000,13,0.000,10,0.000
192,4,0.813,30,0.143,27,0.028,13,0.008,29,0.003
193,4,0.943,27,0.035,30,0.016,13,0.002,29,0.002
198,4,0.997,108,0.001,98,0.000,187,0.000,25,0.000
199,4,1.000,30,0.000,27,0.000,107,0.000,13,0.000
200,4,0.997,30,0.001,107,0.001,27,0.000,13,0.000
201,4,0.999,27,0.000,30,0.000,108,0.000,29,0.000
205,4,0.999,107,0.000,30,0.000,108,0.000,29,0.000
207,4,0.873,54,0.042,30,0.041,27,0.019,74,0.007
208,4,1.000,27,0.000,13,0.000,128,0.000,110,0.000
210,27,0.877,4,0.061,30,0.036,29,0.006,9,0.005
211,4,1.000,13,0.000,54,0.000,30,0.000,98,0.000
212,4,0.462,13,0.406,187,0.053,108,0.027,98,0.013
214,4,0.999,107,0.001,30,0.000,13,0.000,108,0.000
217,4,0.998,25,0.001,107,0.000,187,0.000,30,0.000
219,4,0.999,110,0.000,28,0.000,187,0.000,108,0.000
223,29,0.413,30,0.327,4,0.106,107,0.105,108,0.037
226,4,0.721,30,0.144,107,0.134,29,0.000,27,0.000
