#mod db: cub_bby
#run db: cub_bby_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.821,2,0.161,3,0.014,66,0.002,60,0.000
3,1,0.994,3,0.005,2,0.000,8,0.000,45,0.000
6,2,0.662,1,0.334,45,0.002,72,0.001,3,0.000
10,1,0.523,2,0.415,3,0.060,71,0.002,66,0.001
12,1,0.998,2,0.001,3,0.001,72,0.000,45,0.000
13,3,0.427,1,0.113,71,0.108,61,0.091,46,0.054
14,1,0.988,3,0.005,2,0.005,45,0.001,72,0.000
16,1,0.985,3,0.008,45,0.004,2,0.001,8,0.001
17,1,0.998,2,0.001,3,0.000,71,0.000,66,0.000
19,1,0.999,2,0.001,3,0.000,45,0.000,72,0.000
22,1,0.996,2,0.004,3,0.000,71,0.000,65,0.000
24,1,0.981,2,0.018,3,0.000,45,0.000,65,0.000
25,1,0.972,3,0.025,2,0.002,72,0.000,71,0.000
26,1,0.798,3,0.197,2,0.003,45,0.001,71,0.000
27,1,0.961,3,0.014,72,0.012,2,0.010,45,0.001
28,3,0.668,1,0.328,2,0.001,45,0.001,8,0.001
29,1,0.999,3,0.001,2,0.000,23,0.000,44,0.000
33,1,0.817,3,0.155,72,0.011,45,0.006,2,0.005
34,1,0.997,2,0.002,3,0.001,45,0.000,71,0.000
38,1,0.987,3,0.009,2,0.002,45,0.001,72,0.001
39,1,0.998,3,0.002,2,0.000,45,0.000,8,0.000
44,1,0.878,3,0.087,2,0.021,72,0.008,45,0.007
45,1,0.959,2,0.024,3,0.018,45,0.000,72,0.000
47,1,0.665,3,0.330,45,0.002,71,0.002,2,0.000
48,2,0.870,1,0.097,3,0.032,45,0.000,71,0.000
50,1,0.844,3,0.138,45,0.007,2,0.004,71,0.003
52,3,0.932,1,0.040,2,0.021,72,0.005,44,0.001
54,1,0.997,3,0.001,2,0.001,72,0.000,23,0.000
57,1,0.991,2,0.008,3,0.001,45,0.000,72,0.000
59,1,0.996,2,0.004,72,0.000,3,0.000,45,0.000
61,2,0.850,1,0.143,3,0.004,45,0.001,72,0.000
63,2,0.997,3,0.002,1,0.001,66,0.000,59,0.000
65,2,0.999,1,0.001,3,0.000,66,0.000,100,0.000
68,2,1.000,66,0.000,1,0.000,3,0.000,100,0.000
70,59,0.411,2,0.290,66,0.122,143,0.088,62,0.023
71,2,0.997,66,0.001,65,0.001,44,0.000,59,0.000
76,2,0.999,3,0.000,1,0.000,66,0.000,45,0.000
79,2,0.998,1,0.002,3,0.000,66,0.000,45,0.000
82,2,0.997,1,0.002,3,0.001,45,0.000,66,0.000
83,2,1.000,72,0.000,1,0.000,65,0.000,44,0.000
85,2,0.995,3,0.002,1,0.001,59,0.000,66,0.000
87,84,0.955,63,0.022,59,0.014,62,0.003,66,0.002
88,2,0.923,1,0.033,65,0.007,3,0.006,71,0.004
90,2,0.999,66,0.000,59,0.000,1,0.000,65,0.000
91,2,0.922,1,0.052,66,0.012,3,0.006,71,0.003
92,2,0.999,1,0.001,66,0.000,3,0.000,45,0.000
93,2,1.000,1,0.000,66,0.000,65,0.000,3,0.000
94,2,0.978,66,0.021,59,0.000,65,0.000,44,0.000
95,2,0.794,3,0.171,59,0.025,143,0.003,66,0.002
98,2,0.996,59,0.001,3,0.001,1,0.001,66,0.000
100,2,0.987,1,0.007,3,0.002,45,0.002,72,0.000
101,2,0.764,3,0.131,1,0.081,45,0.019,72,0.002
103,2,0.998,1,0.002,3,0.001,66,0.000,44,0.000
106,2,0.999,1,0.000,3,0.000,66,0.000,59,0.000
107,2,1.000,1,0.000,66,0.000,3,0.000,45,0.000
108,2,0.995,72,0.002,44,0.001,3,0.001,1,0.001
112,2,0.848,59,0.100,71,0.039,66,0.005,3,0.003
114,2,0.991,1,0.009,3,0.000,45,0.000,72,0.000
118,2,0.996,59,0.002,66,0.001,3,0.000,65,0.000
119,2,0.960,59,0.028,66,0.006,71,0.002,84,0.001
126,3,0.872,2,0.121,84,0.004,59,0.001,71,0.001
129,3,0.991,71,0.007,1,0.001,2,0.000,186,0.000
130,3,0.949,2,0.040,1,0.010,71,0.000,72,0.000
132,3,1.000,2,0.000,1,0.000,71,0.000,84,0.000
133,3,0.929,2,0.061,1,0.009,71,0.000,72,0.000
134,3,0.979,45,0.012,72,0.002,185,0.001,142,0.001
135,3,0.986,1,0.005,72,0.005,45,0.001,71,0.001
139,3,0.836,45,0.045,2,0.041,93,0.021,63,0.014
144,3,0.986,142,0.003,61,0.003,9,0.002,59,0.001
146,3,0.978,71,0.007,185,0.003,186,0.002,1,0.002
147,3,0.987,1,0.012,2,0.001,45,0.000,71,0.000
149,3,0.969,1,0.029,2,0.001,45,0.000,71,0.000
150,3,0.945,45,0.025,142,0.006,72,0.003,144,0.002
154,3,0.768,1,0.218,2,0.007,71,0.003,58,0.001
155,3,0.942,2,0.037,1,0.020,71,0.000,72,0.000
156,3,0.995,1,0.003,45,0.001,72,0.000,2,0.000
157,3,0.928,1,0.066,2,0.004,45,0.001,72,0.000
161,3,0.873,2,0.061,1,0.057,45,0.003,72,0.003
162,3,0.867,1,0.126,2,0.006,72,0.001,45,0.000
163,3,0.821,1,0.170,71,0.003,2,0.003,72,0.001
165,3,0.998,45,0.002,72,0.000,2,0.000,1,0.000
167,3,0.997,2,0.001,1,0.001,72,0.000,71,0.000
169,3,0.999,1,0.000,2,0.000,71,0.000,45,0.000
170,3,0.978,71,0.014,1,0.003,2,0.002,142,0.001
171,3,0.829,8,0.043,45,0.043,58,0.012,86,0.012
173,3,0.932,2,0.047,1,0.020,45,0.000,72,0.000
175,3,0.999,2,0.000,1,0.000,71,0.000,45,0.000
178,3,0.983,1,0.012,72,0.002,45,0.002,71,0.000
179,4,0.945,27,0.038,30,0.012,29,0.002,26,0.001
180,4,0.997,30,0.001,107,0.001,27,0.000,29,0.000
183,4,0.996,27,0.001,52,0.001,128,0.000,125,0.000
