Loss,Acc,VLoss,Vacc,ETime,GTime
5.060,0.098,4.236,0.329,95.874,88.648
2.768,0.426,1.469,0.625,94.982,88.283
1.086,0.722,0.880,0.761,94.974,88.227
0.591,0.851,0.762,0.788,94.960,88.232
0.354,0.911,0.632,0.830,94.949,88.251
0.229,0.945,0.641,0.834,95.175,88.228
0.158,0.969,0.613,0.841,95.049,88.257
0.113,0.980,0.628,0.844,94.963,88.261
0.080,0.988,0.616,0.845,95.049,88.240
0.063,0.992,0.615,0.852,95.049,88.242
0.055,0.993,0.623,0.843,95.097,88.254
0.046,0.995,0.627,0.852,95.035,88.266
0.038,0.995,0.624,0.849,94.989,88.252
0.032,0.997,0.620,0.859,95.027,88.207
0.031,0.996,0.626,0.858,94.995,88.241
0.026,0.998,0.628,0.856,95.208,88.233
0.024,0.998,0.629,0.857,94.818,88.092
0.022,0.998,0.647,0.853,94.714,88.083
0.022,0.998,0.642,0.854,94.853,88.062
0.019,0.999,0.645,0.853,94.837,88.072
