#mod db: cub_bby
#run db: cub_bs_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.677,2,0.167,3,0.132,66,0.019,45,0.002
3,1,0.999,3,0.001,45,0.000,8,0.000,2,0.000
6,1,0.880,2,0.072,65,0.037,45,0.009,44,0.001
10,3,0.656,1,0.239,2,0.083,66,0.015,71,0.001
12,1,0.981,3,0.011,72,0.002,2,0.002,45,0.001
13,3,0.501,1,0.223,71,0.068,2,0.047,66,0.028
14,1,0.995,3,0.002,45,0.001,2,0.001,8,0.000
16,1,0.951,2,0.013,3,0.010,72,0.009,23,0.007
17,1,0.999,2,0.000,45,0.000,3,0.000,8,0.000
19,1,1.000,45,0.000,3,0.000,2,0.000,8,0.000
22,1,0.993,2,0.004,3,0.001,65,0.001,45,0.001
24,1,0.999,2,0.000,3,0.000,45,0.000,72,0.000
25,1,0.318,3,0.274,44,0.178,2,0.133,72,0.047
26,1,0.922,3,0.075,45,0.002,2,0.000,8,0.000
27,1,0.834,2,0.108,3,0.046,72,0.008,44,0.001
28,1,0.979,3,0.008,8,0.002,23,0.002,2,0.002
29,1,0.986,23,0.006,3,0.004,58,0.001,44,0.001
33,3,0.855,1,0.096,72,0.017,58,0.006,45,0.006
34,1,0.998,45,0.001,3,0.000,2,0.000,8,0.000
38,1,0.996,3,0.002,45,0.001,23,0.000,8,0.000
39,1,0.999,3,0.001,45,0.000,2,0.000,8,0.000
44,1,0.996,2,0.002,45,0.001,3,0.001,72,0.000
45,1,0.955,3,0.038,2,0.003,23,0.002,8,0.001
47,100,0.597,44,0.143,1,0.122,23,0.102,2,0.009
48,1,0.462,3,0.451,2,0.084,71,0.002,45,0.001
50,1,0.986,3,0.004,45,0.003,2,0.003,23,0.002
52,3,0.990,1,0.003,44,0.002,72,0.002,143,0.001
54,1,0.946,2,0.043,3,0.006,72,0.003,45,0.001
57,1,0.999,23,0.000,45,0.000,2,0.000,3,0.000
59,1,0.978,2,0.020,45,0.002,3,0.000,72,0.000
61,2,0.342,1,0.298,3,0.273,62,0.022,72,0.016
63,2,0.971,66,0.016,3,0.005,1,0.003,84,0.002
65,2,0.999,66,0.000,1,0.000,84,0.000,3,0.000
68,2,0.999,1,0.000,66,0.000,44,0.000,59,0.000
70,2,0.655,3,0.190,66,0.059,62,0.043,59,0.019
71,2,0.995,65,0.002,59,0.001,84,0.001,44,0.000
76,2,0.999,3,0.000,1,0.000,66,0.000,84,0.000
79,2,1.000,66,0.000,1,0.000,3,0.000,44,0.000
82,2,0.984,3,0.005,1,0.002,84,0.002,66,0.001
83,2,1.000,44,0.000,100,0.000,59,0.000,66,0.000
