#mod db: cub_bs
#run db: cub_bs_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.869,1,0.117,3,0.007,66,0.004,65,0.001
3,1,0.999,3,0.001,45,0.000,8,0.000,2,0.000
6,1,0.931,2,0.067,65,0.001,44,0.000,62,0.000
10,3,0.863,1,0.096,2,0.038,45,0.001,66,0.001
12,1,0.981,72,0.009,3,0.004,2,0.003,23,0.001
13,3,0.503,142,0.097,49,0.054,1,0.051,71,0.042
14,1,0.890,3,0.087,45,0.015,2,0.007,71,0.001
16,1,0.632,3,0.363,45,0.002,23,0.001,72,0.001
17,1,0.992,2,0.005,3,0.002,71,0.000,46,0.000
19,1,0.997,45,0.001,2,0.001,3,0.001,8,0.000
22,1,0.948,62,0.022,2,0.011,71,0.004,46,0.003
24,1,0.995,2,0.001,3,0.001,46,0.001,72,0.000
25,1,0.973,3,0.010,2,0.006,72,0.005,45,0.002
26,3,0.877,1,0.111,45,0.009,66,0.001,71,0.001
27,1,0.909,3,0.062,2,0.017,72,0.008,23,0.002
28,1,0.939,23,0.028,3,0.019,8,0.003,49,0.002
29,1,0.995,3,0.002,25,0.002,2,0.001,23,0.000
33,1,0.372,3,0.299,72,0.269,58,0.014,86,0.011
34,1,0.996,2,0.003,45,0.001,3,0.000,66,0.000
38,1,0.962,23,0.023,2,0.008,72,0.002,3,0.002
39,1,0.906,3,0.094,45,0.000,2,0.000,23,0.000
44,1,0.867,3,0.113,45,0.017,2,0.002,72,0.001
45,1,0.980,3,0.013,2,0.005,23,0.002,66,0.000
47,25,0.960,23,0.014,1,0.014,44,0.006,2,0.004
48,1,0.622,2,0.243,3,0.122,45,0.009,71,0.002
50,1,0.917,3,0.049,2,0.029,71,0.004,23,0.000
52,3,0.925,1,0.021,72,0.018,143,0.012,71,0.007
54,1,0.934,72,0.020,2,0.017,23,0.012,3,0.010
57,1,0.999,2,0.001,3,0.001,23,0.000,45,0.000
59,1,0.998,2,0.001,45,0.000,3,0.000,72,0.000
61,1,0.747,3,0.217,2,0.021,71,0.009,62,0.003
63,2,0.995,66,0.002,59,0.001,1,0.001,3,0.000
65,2,0.996,65,0.002,45,0.001,66,0.000,59,0.000
68,2,0.999,1,0.000,59,0.000,71,0.000,65,0.000
70,145,0.480,62,0.119,66,0.105,2,0.098,101,0.058
71,2,0.982,59,0.012,66,0.003,65,0.002,93,0.000
