Loss,Acc,VLoss,Vacc,ETime,GTime
4.568,0.125,2.565,0.412,33.300,25.976
1.868,0.531,1.171,0.686,32.137,25.718
0.934,0.750,0.842,0.768,32.258,25.801
0.562,0.847,0.755,0.790,32.204,25.734
0.362,0.904,0.656,0.823,32.255,25.742
0.258,0.934,0.651,0.825,32.727,25.771
0.190,0.958,0.633,0.824,32.431,25.765
0.145,0.968,0.666,0.813,32.312,25.737
0.098,0.985,0.613,0.830,32.238,25.753
0.088,0.985,0.595,0.841,32.237,25.758
0.069,0.988,0.619,0.830,32.965,25.763
0.058,0.992,0.613,0.839,32.336,25.767
0.048,0.993,0.607,0.846,32.260,25.753
0.039,0.995,0.599,0.845,32.232,25.760
0.038,0.994,0.604,0.841,32.192,25.751
0.034,0.996,0.609,0.836,33.115,25.755
0.031,0.997,0.612,0.843,32.331,25.754
0.029,0.998,0.604,0.846,32.139,25.759
0.025,0.997,0.614,0.847,32.234,25.751
0.023,0.998,0.610,0.839,32.197,25.746
