#mod db: cub_bs
#run db: cub_bs_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.504,2,0.486,3,0.008,66,0.002,65,0.000
3,1,0.999,3,0.001,2,0.000,45,0.000,8,0.000
6,1,0.512,2,0.475,65,0.006,72,0.003,45,0.003
10,3,0.549,1,0.412,2,0.038,71,0.001,66,0.000
12,1,0.977,3,0.016,2,0.004,72,0.003,65,0.000
13,3,0.390,1,0.203,71,0.097,2,0.085,61,0.079
14,1,0.997,2,0.002,3,0.001,45,0.000,72,0.000
16,1,0.996,3,0.002,45,0.001,2,0.001,65,0.000
17,1,1.000,2,0.000,3,0.000,66,0.000,71,0.000
19,1,0.998,2,0.001,3,0.000,45,0.000,72,0.000
22,1,0.987,2,0.012,65,0.000,71,0.000,3,0.000
24,1,0.993,2,0.007,3,0.000,65,0.000,72,0.000
25,1,0.913,3,0.081,2,0.004,71,0.001,72,0.000
26,1,0.845,3,0.144,2,0.006,45,0.005,71,0.000
27,1,0.562,3,0.413,2,0.012,72,0.008,45,0.001
28,1,0.698,3,0.289,45,0.003,8,0.002,44,0.002
29,1,0.997,3,0.001,2,0.001,44,0.000,72,0.000
33,1,0.794,3,0.176,2,0.009,45,0.005,72,0.004
34,1,0.980,2,0.018,45,0.001,3,0.001,65,0.000
38,1,0.989,3,0.007,2,0.002,23,0.001,8,0.001
39,1,0.998,3,0.002,2,0.001,45,0.000,72,0.000
44,1,0.575,3,0.365,2,0.033,72,0.024,45,0.002
45,1,0.992,2,0.007,3,0.001,72,0.000,44,0.000
47,1,0.371,2,0.287,100,0.217,65,0.041,44,0.037
48,1,0.504,2,0.339,3,0.154,71,0.001,72,0.001
50,1,0.981,3,0.013,2,0.005,71,0.000,44,0.000
52,3,0.984,1,0.011,2,0.003,72,0.002,45,0.001
54,1,0.955,3,0.035,2,0.007,72,0.003,45,0.000
57,1,0.906,2,0.079,3,0.012,72,0.001,45,0.001
