#mod db: cub_bs
#run db: cub_bby_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.877,66,0.043,1,0.034,65,0.031,3,0.005
3,1,0.999,3,0.000,45,0.000,8,0.000,23,0.000
6,1,0.980,2,0.009,45,0.005,65,0.004,72,0.001
10,1,0.544,3,0.441,2,0.006,23,0.003,66,0.002
12,1,0.991,3,0.005,72,0.002,23,0.001,45,0.000
13,71,0.321,61,0.153,3,0.110,66,0.088,1,0.062
14,1,0.992,3,0.004,45,0.003,2,0.000,8,0.000
16,1,0.992,23,0.002,3,0.002,72,0.001,8,0.001
17,1,0.999,3,0.000,2,0.000,45,0.000,8,0.000
19,1,0.999,3,0.000,2,0.000,45,0.000,8,0.000
22,1,0.997,2,0.001,65,0.001,45,0.001,3,0.000
24,1,0.997,2,0.001,3,0.001,65,0.000,45,0.000
25,1,0.866,72,0.074,3,0.025,45,0.011,23,0.006
26,1,0.816,3,0.179,45,0.004,23,0.000,58,0.000
27,1,0.954,3,0.031,2,0.008,23,0.003,72,0.002
28,1,0.988,3,0.005,2,0.003,8,0.001,44,0.001
29,1,0.929,44,0.033,2,0.010,3,0.010,72,0.008
33,1,0.502,3,0.391,72,0.035,45,0.021,58,0.019
34,1,0.998,3,0.001,45,0.000,23,0.000,2,0.000
38,1,0.988,3,0.005,23,0.002,72,0.001,45,0.001
39,1,0.998,3,0.001,45,0.000,2,0.000,72,0.000
44,1,0.843,2,0.060,3,0.054,45,0.038,72,0.003
45,1,0.991,3,0.006,23,0.002,72,0.000,8,0.000
47,1,0.993,3,0.004,45,0.001,71,0.001,23,0.000
48,3,0.814,1,0.177,2,0.007,71,0.001,45,0.001
50,1,0.963,3,0.028,2,0.005,23,0.002,44,0.001
52,3,0.999,1,0.001,71,0.000,72,0.000,44,0.000
54,1,0.952,2,0.025,72,0.014,3,0.003,71,0.001
57,1,0.997,45,0.001,3,0.001,23,0.000,72,0.000
59,1,0.978,45,0.017,2,0.005,3,0.000,72,0.000
61,1,0.438,3,0.321,2,0.178,72,0.024,45,0.014
63,2,0.958,66,0.034,59,0.003,3,0.002,1,0.001
65,2,0.998,66,0.001,65,0.000,1,0.000,59,0.000
68,2,1.000,44,0.000,1,0.000,66,0.000,71,0.000
70,2,0.742,59,0.119,145,0.040,66,0.030,3,0.017
71,2,0.973,65,0.011,44,0.005,66,0.004,59,0.003
76,2,0.998,66,0.001,3,0.000,59,0.000,1,0.000
79,2,0.999,65,0.001,1,0.000,66,0.000,3,0.000
82,2,0.894,3,0.032,65,0.026,66,0.016,45,0.012
83,2,1.000,65,0.000,66,0.000,1,0.000,44,0.000
85,2,0.994,1,0.001,66,0.001,65,0.001,45,0.000
87,84,0.749,45,0.092,65,0.057,2,0.032,59,0.030
88,110,0.313,4,0.236,52,0.065,2,0.049,100,0.027
90,2,0.952,66,0.037,59,0.007,65,0.001,3,0.000
91,2,0.971,66,0.010,1,0.008,71,0.003,3,0.003
92,2,0.988,66,0.007,65,0.003,1,0.001,59,0.000
93,2,1.000,66,0.000,1,0.000,3,0.000,59,0.000
94,2,0.986,66,0.009,59,0.003,65,0.001,3,0.000
95,3,0.730,2,0.103,143,0.088,66,0.018,71,0.014
98,2,0.974,65,0.010,59,0.003,45,0.002,3,0.002
100,1,0.440,2,0.439,45,0.056,3,0.048,71,0.004
101,44,0.367,2,0.166,3,0.140,1,0.134,72,0.085
103,2,0.996,3,0.002,1,0.002,44,0.000,66,0.000
106,2,0.993,66,0.003,65,0.001,1,0.001,3,0.000
107,2,0.997,66,0.003,1,0.000,3,0.000,65,0.000
108,2,0.999,1,0.000,3,0.000,72,0.000,71,0.000
112,2,0.941,66,0.031,59,0.014,65,0.007,3,0.002
114,2,0.846,1,0.143,3,0.004,72,0.002,71,0.001
118,2,0.989,59,0.009,84,0.000,3,0.000,66,0.000
119,2,0.962,66,0.015,65,0.011,59,0.008,84,0.002
126,3,1.000,45,0.000,141,0.000,2,0.000,84,0.000
129,3,0.999,1,0.000,45,0.000,71,0.000,2,0.000
130,3,0.994,1,0.006,71,0.000,2,0.000,45,0.000
132,3,0.999,141,0.000,185,0.000,71,0.000,58,0.000
133,3,0.995,2,0.002,71,0.002,1,0.001,66,0.000
134,3,0.998,45,0.001,62,0.001,1,0.000,143,0.000
135,3,0.994,1,0.005,72,0.000,23,0.000,58,0.000
139,3,0.925,45,0.050,135,0.008,71,0.003,2,0.002
144,3,0.998,1,0.000,66,0.000,2,0.000,5,0.000
