#mod db: cub_bs
#run db: cub_bs_trn
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
2,1,0.997,2,0.001,3,0.001,45,0.001,72,0.000
4,1,0.994,45,0.004,3,0.002,2,0.001,8,0.000
5,1,0.993,3,0.006,2,0.001,23,0.000,72,0.000
7,1,0.997,3,0.002,2,0.000,23,0.000,45,0.000
8,1,0.998,45,0.001,2,0.000,3,0.000,23,0.000
9,1,0.993,45,0.006,3,0.001,72,0.000,8,0.000
11,1,0.993,3,0.005,23,0.000,45,0.000,44,0.000
15,1,0.998,45,0.002,3,0.000,8,0.000,72,0.000
18,1,0.994,45,0.003,72,0.001,2,0.001,3,0.001
20,1,0.999,45,0.000,8,0.000,3,0.000,49,0.000
21,1,0.997,2,0.001,3,0.001,45,0.000,8,0.000
23,1,0.999,45,0.001,2,0.000,3,0.000,8,0.000
30,1,0.999,3,0.000,72,0.000,23,0.000,45,0.000
31,1,0.994,3,0.004,45,0.002,2,0.000,71,0.000
32,1,0.998,3,0.001,8,0.000,45,0.000,2,0.000
35,1,0.997,3,0.002,45,0.000,23,0.000,2,0.000
36,1,0.995,3,0.003,2,0.001,45,0.000,71,0.000
37,1,0.995,3,0.001,45,0.001,23,0.001,8,0.001
40,1,1.000,3,0.000,45,0.000,2,0.000,72,0.000
41,1,0.999,45,0.001,3,0.000,23,0.000,72,0.000
42,1,1.000,3,0.000,2,0.000,45,0.000,8,0.000
43,1,1.000,3,0.000,45,0.000,8,0.000,23,0.000
46,1,0.997,45,0.001,3,0.001,8,0.000,72,0.000
49,1,0.999,45,0.000,72,0.000,3,0.000,8,0.000
51,1,0.999,2,0.000,8,0.000,45,0.000,3,0.000
53,1,1.000,3,0.000,2,0.000,45,0.000,72,0.000
55,1,0.999,2,0.000,45,0.000,8,0.000,3,0.000
56,1,0.998,3,0.001,45,0.000,2,0.000,66,0.000
58,1,0.998,45,0.001,2,0.000,3,0.000,65,0.000
60,1,0.996,2,0.003,65,0.001,45,0.000,3,0.000
62,2,0.999,59,0.000,66,0.000,1,0.000,65,0.000
64,2,0.996,1,0.003,44,0.000,65,0.000,45,0.000
66,2,1.000,1,0.000,44,0.000,66,0.000,65,0.000
67,2,0.999,1,0.001,72,0.000,44,0.000,3,0.000
69,2,1.000,44,0.000,1,0.000,65,0.000,72,0.000
72,2,1.000,59,0.000,66,0.000,1,0.000,3,0.000
73,2,0.998,44,0.001,1,0.000,65,0.000,72,0.000
74,2,0.999,1,0.001,44,0.000,65,0.000,71,0.000
75,2,0.996,66,0.001,1,0.001,65,0.001,45,0.000
77,2,0.998,44,0.000,1,0.000,65,0.000,3,0.000
78,2,0.999,59,0.000,66,0.000,44,0.000,65,0.000
80,2,0.997,1,0.001,65,0.001,45,0.001,66,0.000
81,2,0.999,65,0.000,44,0.000,66,0.000,84,0.000
84,2,0.999,65,0.000,44,0.000,1,0.000,71,0.000
86,2,0.999,3,0.000,1,0.000,66,0.000,65,0.000
89,2,0.998,1,0.001,65,0.001,66,0.000,59,0.000
96,2,0.998,59,0.001,66,0.001,65,0.000,44,0.000
97,2,0.999,59,0.000,3,0.000,1,0.000,66,0.000
99,2,1.000,65,0.000,1,0.000,66,0.000,44,0.000
102,2,1.000,1,0.000,44,0.000,3,0.000,71,0.000
104,2,0.998,59,0.001,45,0.000,3,0.000,84,0.000
105,2,1.000,1,0.000,3,0.000,66,0.000,71,0.000
109,2,0.999,65,0.000,1,0.000,66,0.000,45,0.000
110,2,0.999,1,0.001,72,0.000,65,0.000,44,0.000
111,2,0.999,66,0.000,44,0.000,1,0.000,65,0.000
113,2,0.997,1,0.001,65,0.001,66,0.000,59,0.000
115,2,1.000,44,0.000,1,0.000,71,0.000,72,0.000
116,2,0.999,66,0.000,65,0.000,1,0.000,59,0.000
117,2,1.000,65,0.000,1,0.000,44,0.000,72,0.000
120,2,0.999,59,0.000,66,0.000,44,0.000,65,0.000
121,3,0.995,1,0.004,45,0.001,2,0.000,71,0.000
122,3,0.998,1,0.000,45,0.000,185,0.000,58,0.000
123,3,1.000,1,0.000,61,0.000,185,0.000,71,0.000
124,3,0.987,1,0.009,2,0.003,45,0.001,62,0.000
125,3,0.999,5,0.000,142,0.000,1,0.000,58,0.000
127,3,0.996,1,0.003,2,0.000,71,0.000,45,0.000
128,3,0.999,1,0.001,45,0.000,72,0.000,58,0.000
131,3,0.998,1,0.001,45,0.000,58,0.000,5,0.000
136,3,0.999,1,0.000,45,0.000,2,0.000,23,0.000
137,3,0.999,2,0.000,62,0.000,71,0.000,1,0.000
138,3,0.995,1,0.003,58,0.001,2,0.000,66,0.000
140,3,1.000,1,0.000,185,0.000,66,0.000,84,0.000
141,3,0.999,45,0.000,2,0.000,71,0.000,1,0.000
142,3,1.000,1,0.000,45,0.000,71,0.000,58,0.000
143,3,1.000,1,0.000,45,0.000,62,0.000,58,0.000
145,3,0.999,58,0.001,30,0.000,1,0.000,9,0.000
148,3,0.984,45,0.008,1,0.006,58,0.000,72,0.000
151,3,1.000,1,0.000,2,0.000,71,0.000,66,0.000
152,3,0.998,1,0.001,45,0.000,62,0.000,72,0.000
153,3,1.000,1,0.000,45,0.000,72,0.000,71,0.000
158,3,1.000,1,0.000,2,0.000,45,0.000,71,0.000
159,3,0.995,1,0.004,2,0.000,66,0.000,45,0.000
160,3,1.000,45,0.000,1,0.000,71,0.000,2,0.000
164,3,1.000,45,0.000,141,0.000,2,0.000,71,0.000
166,3,1.000,63,0.000,141,0.000,62,0.000,84,0.000
168,3,0.999,1,0.001,45,0.000,71,0.000,58,0.000
172,3,0.999,71,0.001,2,0.000,1,0.000,72,0.000
174,3,1.000,1,0.000,58,0.000,45,0.000,71,0.000
176,3,1.000,1,0.000,45,0.000,71,0.000,2,0.000
177,3,0.999,142,0.000,1,0.000,45,0.000,143,0.000
181,4,1.000,32,0.000,30,0.000,31,0.000,33,0.000
182,4,0.999,27,0.000,29,0.000,26,0.000,128,0.000
184,4,1.000,27,0.000,29,0.000,107,0.000,30,0.000
187,4,0.999,27,0.001,29,0.000,26,0.000,31,0.000
188,4,1.000,27,0.000,25,0.000,29,0.000,30,0.000
189,4,1.000,27,0.000,107,0.000,26,0.000,29,0.000
194,4,1.000,29,0.000,26,0.000,27,0.000,25,0.000
195,4,1.000,27,0.000,29,0.000,26,0.000,30,0.000
196,4,1.000,29,0.000,26,0.000,27,0.000,107,0.000
197,4,0.999,13,0.000,27,0.000,52,0.000,25,0.000
202,4,0.999,27,0.000,29,0.000,30,0.000,108,0.000
203,4,1.000,27,0.000,26,0.000,25,0.000,128,0.000
204,4,0.999,29,0.000,26,0.000,27,0.000,25,0.000
206,4,1.000,29,0.000,27,0.000,30,0.000,107,0.000
209,4,1.000,27,0.000,26,0.000,29,0.000,31,0.000
213,4,0.999,125,0.001,27,0.000,26,0.000,52,0.000
215,4,0.999,27,0.000,30,0.000,107,0.000,43,0.000
216,4,0.999,29,0.000,107,0.000,30,0.000,26,0.000
218,4,0.999,30,0.000,107,0.000,29,0.000,25,0.000
220,4,1.000,26,0.000,27,0.000,29,0.000,30,0.000
221,4,0.997,27,0.002,29,0.000,30,0.000,74,0.000
222,4,0.999,27,0.000,29,0.000,107,0.000,30,0.000
