#mod db: cub_bs
#run db: cub_bs_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.816,1,0.116,66,0.031,3,0.014,65,0.010
3,1,0.999,3,0.000,45,0.000,8,0.000,23,0.000
6,1,0.970,2,0.022,65,0.004,45,0.003,72,0.000
10,3,0.787,1,0.177,2,0.015,23,0.010,66,0.005
12,1,0.993,3,0.005,72,0.001,23,0.001,2,0.000
13,3,0.254,71,0.146,1,0.101,61,0.101,66,0.088
14,1,0.990,3,0.005,45,0.004,2,0.001,8,0.000
16,1,0.989,3,0.005,23,0.002,72,0.002,45,0.001
17,1,0.999,3,0.000,2,0.000,45,0.000,71,0.000
19,1,0.999,45,0.001,3,0.000,2,0.000,8,0.000
22,1,0.997,2,0.001,65,0.001,45,0.001,3,0.000
24,1,0.997,2,0.001,3,0.001,45,0.000,65,0.000
25,1,0.835,3,0.096,72,0.029,2,0.015,44,0.007
26,1,0.694,3,0.297,45,0.008,58,0.000,23,0.000
27,1,0.957,3,0.022,2,0.009,23,0.006,72,0.003
28,1,0.993,3,0.005,2,0.001,44,0.000,8,0.000
29,1,0.968,44,0.010,3,0.009,23,0.004,2,0.003
33,3,0.542,1,0.366,72,0.030,58,0.026,45,0.010
34,1,0.999,3,0.001,2,0.000,45,0.000,23,0.000
38,1,0.994,3,0.002,23,0.002,72,0.001,45,0.001
39,1,0.999,3,0.001,45,0.000,2,0.000,72,0.000
44,1,0.990,45,0.006,3,0.002,2,0.001,72,0.000
45,1,0.995,3,0.003,23,0.001,44,0.000,2,0.000
47,1,0.786,23,0.095,100,0.058,44,0.046,2,0.006
48,1,0.534,3,0.409,2,0.056,45,0.001,71,0.001
50,1,0.974,3,0.015,2,0.003,23,0.003,44,0.001
52,3,0.997,1,0.002,72,0.000,71,0.000,44,0.000
54,1,0.973,72,0.011,2,0.009,3,0.004,45,0.001
57,1,0.998,3,0.001,45,0.000,72,0.000,23,0.000
59,1,0.980,45,0.012,2,0.007,3,0.000,72,0.000
61,1,0.460,3,0.352,2,0.107,72,0.036,45,0.016
63,2,0.947,66,0.042,3,0.004,59,0.003,1,0.001
65,2,0.999,1,0.000,65,0.000,66,0.000,84,0.000
68,2,1.000,44,0.000,1,0.000,66,0.000,65,0.000
70,2,0.731,59,0.079,3,0.054,66,0.041,71,0.040
71,2,0.968,66,0.010,65,0.009,44,0.005,59,0.004
76,2,1.000,66,0.000,3,0.000,1,0.000,59,0.000
79,2,1.000,1,0.000,65,0.000,66,0.000,3,0.000
82,2,0.848,3,0.105,45,0.013,1,0.010,66,0.007
83,2,1.000,44,0.000,65,0.000,1,0.000,66,0.000
85,2,0.996,65,0.001,1,0.001,66,0.001,45,0.000
87,84,0.792,45,0.060,65,0.039,59,0.035,66,0.029
88,110,0.244,4,0.203,2,0.110,199,0.036,71,0.033
90,2,0.959,66,0.026,59,0.011,65,0.001,44,0.001
91,2,0.785,66,0.155,1,0.019,65,0.017,3,0.004
92,2,0.993,66,0.004,1,0.002,65,0.001,3,0.000
93,2,1.000,66,0.000,3,0.000,1,0.000,65,0.000
94,2,0.987,66,0.010,59,0.002,65,0.000,44,0.000
95,3,0.472,2,0.320,143,0.077,66,0.031,71,0.019
98,2,0.961,65,0.029,59,0.003,66,0.002,3,0.001
100,2,0.880,1,0.064,66,0.021,65,0.010,44,0.008
101,44,0.353,2,0.196,1,0.128,3,0.128,143,0.049
103,2,0.987,3,0.006,1,0.004,71,0.001,44,0.001
106,2,0.993,66,0.003,1,0.001,3,0.001,65,0.001
107,2,0.983,66,0.016,1,0.000,59,0.000,3,0.000
108,2,0.999,1,0.000,65,0.000,3,0.000,72,0.000
112,2,0.902,66,0.063,59,0.015,3,0.006,65,0.005
114,2,0.865,1,0.125,100,0.002,3,0.002,66,0.001
118,2,0.993,59,0.004,84,0.001,3,0.000,71,0.000
119,2,0.960,66,0.027,65,0.006,59,0.004,44,0.001
126,3,1.000,45,0.000,141,0.000,2,0.000,84,0.000
129,3,0.999,71,0.000,2,0.000,1,0.000,45,0.000
130,3,0.995,1,0.005,2,0.000,45,0.000,71,0.000
132,3,0.999,141,0.000,58,0.000,142,0.000,185,0.000
133,3,0.997,2,0.001,71,0.001,1,0.001,45,0.000
134,3,0.997,62,0.001,45,0.000,143,0.000,141,0.000
135,3,0.998,1,0.002,72,0.000,58,0.000,45,0.000
139,3,0.940,45,0.046,63,0.002,2,0.002,135,0.001
