Loss,Acc,VLoss,Vacc,ETime,GTime
4.316,0.161,2.180,0.473,44.017,36.079
1.529,0.609,1.000,0.712,43.014,35.694
0.705,0.816,0.813,0.764,42.740,36.026
0.418,0.888,0.711,0.807,42.405,35.983
0.250,0.938,0.708,0.809,42.496,35.953
0.165,0.963,0.668,0.813,42.788,36.006
0.110,0.981,0.644,0.821,42.511,35.960
0.086,0.986,0.665,0.818,42.474,35.982
0.066,0.990,0.652,0.821,42.504,35.970
0.050,0.993,0.664,0.826,42.504,35.986
0.044,0.993,0.666,0.819,42.876,35.997
0.038,0.996,0.659,0.826,42.537,35.990
0.032,0.997,0.680,0.827,42.506,35.966
0.028,0.998,0.666,0.832,42.527,35.991
0.025,0.998,0.658,0.831,42.463,35.980
0.022,0.999,0.655,0.827,42.899,35.984
0.021,0.998,0.659,0.834,42.479,35.992
0.019,0.998,0.659,0.829,42.421,35.972
0.020,0.998,0.672,0.827,42.482,35.981
0.018,0.999,0.675,0.823,42.497,36.000
