Loss,Acc,VLoss,Vacc,ETime,GTime
5.301,0.005,5.289,0.009,15.155,10.438
5.292,0.006,5.260,0.013,14.134,9.779
5.179,0.010,4.890,0.019,13.893,9.790
4.963,0.016,4.573,0.052,13.942,9.816
4.699,0.030,4.027,0.073,13.942,9.829
4.428,0.047,3.632,0.116,14.010,9.849
4.233,0.058,3.279,0.172,13.970,9.850
3.962,0.086,3.027,0.172,13.975,9.865
3.782,0.105,2.763,0.238,13.988,9.881
3.663,0.129,2.904,0.219,14.056,9.886
3.513,0.151,2.688,0.283,14.041,9.907
3.342,0.166,2.745,0.328,14.027,9.923
3.239,0.200,2.218,0.363,13.989,9.922
3.104,0.206,2.103,0.376,14.112,9.929
3.006,0.233,2.174,0.378,13.992,9.918
2.933,0.244,2.311,0.392,14.101,9.915
2.814,0.265,1.960,0.416,14.024,9.926
2.734,0.275,1.942,0.440,14.105,9.920
2.610,0.312,1.811,0.496,14.074,9.923
2.570,0.311,1.880,0.451,13.998,9.917
2.492,0.330,1.838,0.491,14.107,9.916
2.392,0.353,1.800,0.477,14.122,9.909
2.348,0.355,1.674,0.517,14.013,9.928
2.264,0.380,1.853,0.487,14.035,9.925
2.211,0.389,1.704,0.518,14.081,9.918
2.104,0.419,1.732,0.499,14.111,9.928
2.063,0.424,1.807,0.514,14.033,9.918
2.004,0.444,1.670,0.549,14.524,9.923
1.944,0.457,1.541,0.558,14.019,9.928
1.879,0.471,1.740,0.551,14.087,9.914
1.832,0.487,1.614,0.543,14.017,9.926
1.761,0.501,1.663,0.545,14.099,9.921
1.768,0.509,1.549,0.572,14.594,9.915
1.657,0.537,1.700,0.568,14.553,9.918
1.608,0.542,1.554,0.595,14.588,9.907
1.590,0.546,1.643,0.574,14.573,9.922
1.505,0.572,1.594,0.578,14.357,9.922
1.482,0.575,1.517,0.583,14.043,9.920
1.438,0.583,1.590,0.598,14.061,9.923
1.429,0.594,1.559,0.590,14.110,9.920
1.379,0.605,1.525,0.602,14.083,9.916
1.362,0.609,1.583,0.613,14.083,9.925
1.307,0.625,1.618,0.583,14.035,9.921
1.270,0.638,1.660,0.581,14.053,9.919
1.183,0.657,1.770,0.592,14.021,9.924
1.187,0.658,1.805,0.589,13.993,9.913
1.170,0.658,1.681,0.608,14.074,9.919
1.116,0.682,1.830,0.576,14.057,9.921
1.117,0.682,1.550,0.613,14.042,9.922
1.080,0.695,1.614,0.603,14.038,9.933
1.052,0.706,1.974,0.595,14.004,9.925
1.013,0.703,1.612,0.631,14.057,9.924
0.971,0.723,1.859,0.602,14.081,9.918
0.984,0.720,1.681,0.629,14.102,9.925
0.943,0.731,1.753,0.619,14.054,9.929
0.940,0.737,1.792,0.631,14.011,9.926
0.896,0.748,1.744,0.631,14.058,9.926
0.897,0.748,2.161,0.606,14.066,9.925
0.863,0.756,1.738,0.626,14.046,9.916
0.877,0.762,1.725,0.631,14.013,9.913
