#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.998,3,0.001,2,0.001,72,0.000,86,0.000
3,1,0.965,72,0.028,86,0.004,23,0.001,65,0.001
6,1,0.661,45,0.236,72,0.090,65,0.009,3,0.003
10,65,0.289,1,0.203,58,0.156,3,0.135,8,0.117
12,1,0.870,72,0.114,45,0.015,3,0.001,8,0.000
13,71,0.296,65,0.226,1,0.093,60,0.086,62,0.076
14,1,0.989,72,0.010,45,0.000,86,0.000,8,0.000
16,1,0.916,65,0.060,45,0.018,72,0.005,86,0.001
17,1,0.956,86,0.027,72,0.007,23,0.006,8,0.001
19,1,0.828,72,0.051,86,0.049,8,0.034,23,0.025
22,1,1.000,72,0.000,3,0.000,86,0.000,2,0.000
24,1,0.998,65,0.001,72,0.001,45,0.000,3,0.000
25,1,0.684,3,0.244,72,0.048,2,0.009,45,0.008
26,1,0.822,3,0.046,72,0.046,45,0.036,65,0.023
27,72,0.972,45,0.017,92,0.009,65,0.002,1,0.001
28,1,0.795,45,0.186,3,0.007,8,0.005,184,0.003
29,3,0.813,2,0.082,1,0.075,45,0.013,65,0.008
33,65,0.890,45,0.065,72,0.019,1,0.013,3,0.011
34,1,0.997,72,0.001,3,0.001,65,0.000,71,0.000
38,1,0.897,72,0.045,23,0.044,8,0.011,86,0.002
39,1,0.999,45,0.001,3,0.000,72,0.000,8,0.000
44,3,0.921,1,0.072,45,0.005,2,0.002,65,0.000
45,1,0.999,3,0.000,72,0.000,8,0.000,45,0.000
47,86,0.372,100,0.209,71,0.073,65,0.072,62,0.068
48,2,0.558,44,0.375,3,0.062,1,0.004,71,0.001
50,3,0.841,1,0.131,2,0.019,45,0.007,72,0.001
52,72,0.496,71,0.404,3,0.042,1,0.034,2,0.010
54,1,1.000,3,0.000,72,0.000,45,0.000,23,0.000
57,3,0.680,2,0.242,1,0.073,45,0.002,84,0.001
59,1,0.990,3,0.008,45,0.001,72,0.000,2,0.000
61,1,0.903,3,0.083,2,0.008,45,0.004,65,0.001
63,2,0.972,59,0.018,66,0.006,62,0.001,143,0.001
65,2,0.948,84,0.021,3,0.016,66,0.007,59,0.003
68,2,0.898,3,0.097,1,0.002,84,0.001,44,0.001
70,143,0.539,144,0.133,71,0.087,145,0.056,63,0.048
71,66,0.866,59,0.095,2,0.012,62,0.007,65,0.005
76,2,0.999,3,0.001,44,0.000,1,0.000,71,0.000
79,72,0.451,86,0.414,1,0.060,65,0.043,71,0.020
82,63,0.874,64,0.082,65,0.013,60,0.012,62,0.006
83,2,0.587,86,0.242,1,0.060,23,0.028,72,0.024
85,2,1.000,3,0.000,66,0.000,44,0.000,101,0.000
87,65,0.427,60,0.420,64,0.074,59,0.022,63,0.022
88,65,0.332,71,0.200,62,0.116,1,0.045,92,0.040
90,2,0.985,59,0.008,66,0.006,3,0.001,84,0.000
91,24,0.492,23,0.218,25,0.144,53,0.060,86,0.018
92,2,0.998,3,0.001,44,0.000,1,0.000,59,0.000
93,2,0.942,66,0.031,59,0.018,84,0.004,3,0.003
94,2,0.582,59,0.291,66,0.102,62,0.014,143,0.003
95,2,0.536,84,0.219,3,0.162,59,0.051,143,0.014
98,2,0.377,59,0.283,62,0.090,71,0.078,65,0.058
100,2,0.981,3,0.007,59,0.003,1,0.002,65,0.002
101,3,0.489,2,0.379,1,0.122,143,0.003,71,0.002
103,2,0.918,3,0.039,59,0.032,62,0.005,71,0.001
106,2,0.732,1,0.198,3,0.066,44,0.001,23,0.001
107,2,0.999,101,0.001,59,0.000,66,0.000,44,0.000
108,3,0.715,2,0.162,1,0.109,44,0.006,45,0.003
112,2,0.853,59,0.086,66,0.023,62,0.015,3,0.006
114,1,0.940,3,0.048,2,0.011,45,0.000,65,0.000
118,2,0.981,3,0.013,59,0.005,84,0.001,71,0.000
119,65,0.591,59,0.098,2,0.087,60,0.076,3,0.076
126,63,0.326,45,0.287,65,0.166,3,0.090,60,0.069
129,79,0.769,166,0.125,151,0.040,73,0.019,114,0.012
130,2,0.780,3,0.197,1,0.024,44,0.000,71,0.000
132,3,0.977,2,0.018,1,0.002,84,0.001,45,0.001
133,3,0.493,2,0.490,84,0.016,1,0.000,45,0.000
134,1,0.882,3,0.099,45,0.011,72,0.007,2,0.001
135,1,0.928,72,0.043,65,0.012,45,0.006,3,0.006
139,45,0.848,8,0.041,3,0.029,65,0.020,58,0.019
144,65,0.490,60,0.207,61,0.122,108,0.053,30,0.044
146,23,0.428,2,0.227,72,0.083,3,0.077,44,0.064
147,1,0.474,3,0.445,45,0.057,8,0.017,2,0.003
149,1,0.437,45,0.292,3,0.263,72,0.005,65,0.002
150,2,0.308,3,0.142,186,0.085,84,0.058,31,0.055
154,89,0.720,106,0.158,90,0.059,45,0.008,87,0.008
155,2,0.659,3,0.243,1,0.097,44,0.001,71,0.000
