#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.923,1,0.053,3,0.016,66,0.002,45,0.002
3,1,0.977,3,0.012,45,0.005,2,0.002,8,0.002
6,1,0.739,2,0.228,45,0.015,65,0.011,3,0.003
10,1,0.593,3,0.297,2,0.090,58,0.003,71,0.003
12,1,0.976,3,0.011,45,0.007,2,0.002,72,0.001
13,1,0.361,3,0.311,2,0.066,71,0.057,60,0.028
14,1,0.736,45,0.120,3,0.092,2,0.046,72,0.001
16,1,0.924,3,0.038,45,0.012,2,0.012,23,0.009
17,1,0.930,71,0.026,3,0.019,2,0.011,46,0.005
19,1,0.954,3,0.029,45,0.008,2,0.003,8,0.002
22,1,0.941,2,0.013,65,0.011,3,0.007,45,0.006
24,1,0.976,2,0.007,3,0.003,72,0.002,71,0.002
25,1,0.831,3,0.101,45,0.038,2,0.018,72,0.007
26,1,0.514,3,0.398,45,0.027,71,0.017,72,0.007
27,1,0.869,3,0.081,2,0.020,72,0.010,45,0.008
28,3,0.589,1,0.352,45,0.013,71,0.008,72,0.007
29,3,0.593,1,0.224,45,0.054,72,0.044,2,0.024
33,1,0.360,3,0.358,72,0.161,23,0.040,45,0.028
34,1,0.855,2,0.090,3,0.023,45,0.016,65,0.004
38,1,0.714,8,0.111,3,0.058,72,0.043,23,0.036
39,1,0.801,3,0.100,45,0.092,2,0.005,72,0.001
44,1,0.718,45,0.165,3,0.096,2,0.012,72,0.005
45,1,0.826,3,0.120,2,0.045,45,0.004,23,0.002
47,1,0.652,2,0.275,25,0.033,23,0.020,100,0.007
48,3,0.778,1,0.106,2,0.092,45,0.008,44,0.004
50,1,0.417,3,0.339,2,0.224,71,0.009,45,0.006
52,3,0.967,1,0.012,2,0.008,72,0.007,71,0.003
54,1,0.921,3,0.039,2,0.030,45,0.005,23,0.002
57,1,0.606,72,0.131,2,0.127,3,0.053,45,0.028
59,1,0.974,45,0.020,3,0.002,2,0.002,72,0.001
61,2,0.567,3,0.257,1,0.137,45,0.020,71,0.006
63,2,0.975,3,0.006,66,0.006,1,0.005,59,0.002
65,2,0.974,65,0.007,45,0.003,66,0.003,59,0.002
68,2,0.998,71,0.000,65,0.000,1,0.000,3,0.000
70,2,0.581,3,0.201,1,0.047,44,0.021,62,0.021
71,2,0.961,66,0.018,65,0.013,59,0.004,106,0.001
76,2,0.993,66,0.003,59,0.001,3,0.001,1,0.001
79,2,0.907,1,0.056,3,0.020,45,0.009,65,0.003
82,2,0.333,45,0.333,1,0.050,84,0.050,3,0.048
83,2,0.998,44,0.001,100,0.000,71,0.000,65,0.000
85,2,0.985,65,0.005,66,0.004,59,0.002,45,0.001
87,84,0.272,62,0.154,65,0.131,59,0.103,45,0.073
88,34,0.142,194,0.138,92,0.117,199,0.073,110,0.046
90,2,0.946,66,0.039,59,0.006,65,0.004,62,0.001
91,3,0.219,142,0.159,1,0.154,71,0.111,23,0.101
92,2,0.964,66,0.018,65,0.013,59,0.002,1,0.001
93,2,0.994,65,0.002,66,0.001,59,0.001,1,0.000
94,2,0.965,66,0.014,65,0.013,59,0.003,44,0.001
95,2,0.465,3,0.433,71,0.021,1,0.015,62,0.010
98,2,0.888,66,0.039,65,0.021,59,0.015,71,0.009
100,2,0.584,66,0.295,65,0.049,62,0.021,59,0.018
101,3,0.689,2,0.181,1,0.103,66,0.004,101,0.004
103,2,0.920,3,0.065,1,0.011,71,0.001,66,0.001
106,2,0.968,3,0.018,1,0.007,66,0.002,65,0.001
107,2,0.991,1,0.002,66,0.002,3,0.001,65,0.001
108,1,0.469,2,0.337,3,0.156,45,0.013,25,0.007
112,2,0.986,66,0.004,59,0.002,71,0.002,3,0.001
114,2,0.736,1,0.229,3,0.027,45,0.005,71,0.001
118,2,0.954,66,0.008,59,0.007,84,0.005,62,0.004
119,2,0.962,65,0.017,66,0.011,59,0.003,45,0.002
126,3,0.940,2,0.042,45,0.009,1,0.003,84,0.002
129,3,0.544,2,0.294,135,0.065,1,0.045,71,0.022
130,3,0.875,1,0.086,2,0.031,45,0.003,72,0.001
132,3,0.941,1,0.035,2,0.012,45,0.006,84,0.001
133,2,0.598,3,0.325,1,0.032,71,0.031,45,0.004
134,3,0.934,1,0.040,45,0.007,71,0.005,72,0.004
135,3,0.883,1,0.087,2,0.009,71,0.008,45,0.006
139,3,0.619,45,0.122,1,0.032,2,0.031,84,0.026
144,3,0.946,142,0.020,1,0.005,66,0.004,9,0.004
146,3,0.760,2,0.137,1,0.025,71,0.020,62,0.008
147,3,0.964,1,0.015,58,0.003,5,0.003,2,0.002
149,3,0.697,1,0.286,45,0.008,72,0.004,2,0.002
150,3,0.776,1,0.165,2,0.013,71,0.009,186,0.006
154,1,0.461,2,0.279,3,0.127,71,0.042,72,0.017
155,3,0.794,1,0.142,2,0.059,71,0.003,45,0.001
156,1,0.716,3,0.202,45,0.060,2,0.013,58,0.002
157,1,0.575,3,0.403,45,0.014,2,0.005,72,0.001
161,3,0.624,1,0.285,2,0.078,45,0.009,72,0.001
162,1,0.449,3,0.378,45,0.135,2,0.030,72,0.005
163,1,0.847,3,0.117,8,0.009,72,0.007,71,0.006
165,3,0.942,45,0.030,1,0.022,2,0.001,71,0.001
167,3,0.958,1,0.023,2,0.005,45,0.004,72,0.004
169,3,0.659,1,0.214,2,0.117,71,0.005,45,0.002
170,3,0.867,142,0.103,1,0.010,71,0.009,72,0.006
171,3,0.865,58,0.022,1,0.018,19,0.014,5,0.010
173,3,0.917,1,0.073,2,0.008,45,0.001,71,0.000
175,3,0.833,1,0.069,71,0.022,2,0.022,58,0.010
178,3,0.608,1,0.378,72,0.009,45,0.002,71,0.001
179,4,0.915,27,0.048,26,0.009,30,0.009,29,0.007
180,4,0.953,30,0.026,29,0.005,27,0.005,107,0.004
183,4,0.833,98,0.024,109,0.016,30,0.012,160,0.009
185,4,0.820,27,0.062,30,0.039,107,0.025,108,0.014
186,4,0.805,27,0.047,128,0.030,30,0.020,29,0.013
190,4,0.972,27,0.008,30,0.008,107,0.004,29,0.003
191,13,0.242,10,0.123,4,0.115,12,0.078,134,0.041
192,4,0.904,30,0.035,27,0.031,29,0.013,26,0.005
193,4,0.924,27,0.035,30,0.006,26,0.005,13,0.003
198,4,0.905,30,0.018,108,0.012,187,0.007,26,0.005
199,4,0.992,30,0.003,27,0.002,29,0.001,13,0.000
200,4,0.987,30,0.003,27,0.003,13,0.002,26,0.001
201,4,0.829,30,0.098,27,0.023,107,0.019,108,0.010
205,4,0.936,107,0.022,30,0.018,108,0.013,29,0.005
207,4,0.466,27,0.462,54,0.013,30,0.008,26,0.007
208,4,0.984,27,0.007,13,0.004,30,0.001,26,0.001
210,4,0.716,27,0.113,26,0.053,29,0.039,11,0.017
211,4,0.986,30,0.005,13,0.003,27,0.002,98,0.000
