Loss,Acc,VLoss,Vacc,ETime,GTime
5.256,0.021,5.161,0.076,33.801,25.834
5.016,0.117,4.751,0.215,33.184,25.589
4.387,0.260,3.724,0.369,33.245,25.703
3.382,0.389,2.705,0.491,33.339,25.795
2.568,0.505,2.072,0.580,33.336,25.761
2.023,0.593,1.686,0.654,33.567,25.742
1.645,0.658,1.429,0.678,33.175,25.748
1.369,0.709,1.237,0.705,33.172,25.739
1.160,0.753,1.106,0.727,33.153,25.733
0.996,0.784,1.028,0.744,33.223,25.739
0.884,0.805,0.964,0.756,34.084,25.753
0.767,0.838,0.921,0.756,33.343,25.738
0.684,0.854,0.883,0.758,33.076,25.726
0.618,0.866,0.839,0.782,33.134,25.723
0.545,0.887,0.839,0.767,33.185,25.727
0.499,0.900,0.810,0.777,33.941,25.749
0.444,0.910,0.793,0.785,33.278,25.738
0.415,0.916,0.778,0.785,33.203,25.744
0.377,0.924,0.775,0.781,33.188,25.737
0.344,0.937,0.768,0.788,33.240,25.748
