Loss,Acc,VLoss,Vacc,ETime,GTime
4.584,0.120,2.731,0.384,33.987,25.848
2.048,0.482,1.437,0.603,33.345,25.567
1.101,0.704,1.055,0.711,33.224,25.646
0.690,0.805,0.932,0.721,33.391,25.718
0.440,0.882,0.857,0.744,33.227,25.667
0.312,0.918,0.839,0.769,33.855,25.697
0.227,0.944,0.877,0.755,33.281,25.698
0.165,0.965,0.813,0.766,33.344,25.665
0.117,0.976,0.844,0.764,33.207,25.681
0.101,0.979,0.852,0.764,33.210,25.687
0.074,0.986,0.802,0.780,33.884,25.685
0.061,0.990,0.846,0.777,33.275,25.680
0.054,0.990,0.804,0.784,33.474,25.695
0.047,0.991,0.816,0.791,33.382,25.685
0.043,0.994,0.794,0.787,33.327,25.686
0.037,0.995,0.812,0.802,33.928,25.686
0.032,0.997,0.838,0.799,33.857,25.700
0.027,0.996,0.820,0.792,33.302,25.677
0.022,0.997,0.803,0.805,33.191,25.675
0.022,0.997,0.807,0.803,33.361,25.702
