#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.877,1,0.064,3,0.027,45,0.008,66,0.008
3,1,0.932,3,0.034,45,0.016,2,0.006,8,0.004
6,1,0.724,2,0.209,65,0.025,45,0.014,72,0.011
10,1,0.496,3,0.405,2,0.047,71,0.013,45,0.007
12,1,0.859,45,0.040,3,0.031,2,0.030,72,0.020
13,3,0.522,66,0.077,60,0.059,71,0.058,62,0.044
14,1,0.627,45,0.179,3,0.095,2,0.086,71,0.004
16,1,0.764,3,0.163,45,0.034,2,0.014,72,0.010
17,1,0.836,71,0.071,46,0.035,3,0.013,61,0.008
19,1,0.968,3,0.018,45,0.006,71,0.002,2,0.001
22,1,0.925,65,0.022,2,0.010,45,0.007,3,0.007
24,1,0.965,65,0.008,71,0.006,3,0.005,72,0.004
25,1,0.411,3,0.264,45,0.213,2,0.064,72,0.032
26,3,0.524,1,0.364,45,0.046,71,0.024,61,0.007
27,1,0.791,3,0.085,2,0.051,23,0.026,72,0.026
28,3,0.550,1,0.340,45,0.023,72,0.017,8,0.012
29,1,0.314,3,0.306,72,0.186,45,0.090,2,0.020
33,3,0.414,1,0.352,72,0.107,23,0.070,8,0.008
34,1,0.809,2,0.090,45,0.033,3,0.022,65,0.015
38,1,0.615,8,0.114,72,0.092,3,0.069,23,0.060
39,1,0.851,45,0.079,3,0.066,2,0.002,72,0.001
44,1,0.598,3,0.202,45,0.144,72,0.025,2,0.025
45,1,0.772,3,0.206,2,0.012,23,0.004,72,0.002
47,1,0.740,2,0.161,72,0.021,23,0.017,25,0.017
48,3,0.706,1,0.128,2,0.091,44,0.023,71,0.018
50,1,0.478,2,0.256,3,0.215,71,0.027,72,0.013
52,3,0.904,72,0.044,1,0.015,71,0.013,44,0.008
54,1,0.968,3,0.014,2,0.007,23,0.004,72,0.004
57,1,0.478,72,0.271,2,0.091,3,0.056,44,0.024
59,1,0.981,45,0.012,3,0.003,2,0.002,72,0.001
61,2,0.328,3,0.233,1,0.204,101,0.047,62,0.039
63,2,0.898,66,0.032,59,0.031,65,0.007,3,0.006
65,2,0.954,65,0.009,66,0.008,84,0.006,45,0.006
68,2,0.992,71,0.002,65,0.001,59,0.001,66,0.001
70,3,0.241,101,0.189,2,0.114,62,0.099,44,0.095
71,2,0.822,66,0.062,65,0.062,59,0.039,71,0.004
76,2,0.985,66,0.005,59,0.003,65,0.001,84,0.001
79,2,0.906,1,0.058,3,0.011,45,0.007,65,0.004
82,45,0.382,63,0.104,84,0.101,59,0.096,2,0.082
83,2,0.986,44,0.007,100,0.002,101,0.002,71,0.001
85,2,0.950,65,0.012,59,0.012,66,0.012,84,0.004
87,84,0.422,62,0.204,59,0.092,64,0.073,63,0.059
88,194,0.091,52,0.086,92,0.071,45,0.067,34,0.059
90,2,0.809,66,0.109,59,0.043,65,0.020,71,0.009
91,72,0.210,3,0.189,23,0.145,1,0.099,71,0.093
92,2,0.856,66,0.069,65,0.040,59,0.022,45,0.002
93,2,0.969,65,0.013,59,0.007,66,0.005,71,0.001
94,2,0.868,66,0.060,65,0.042,59,0.017,71,0.003
95,2,0.379,3,0.266,62,0.091,71,0.055,59,0.029
98,2,0.750,59,0.072,65,0.066,66,0.053,71,0.015
100,66,0.385,2,0.373,65,0.080,59,0.069,62,0.063
101,3,0.412,2,0.220,1,0.150,101,0.127,86,0.022
103,2,0.919,3,0.047,1,0.010,71,0.008,66,0.008
106,2,0.942,66,0.019,3,0.018,84,0.005,65,0.004
107,2,0.979,66,0.007,65,0.003,59,0.003,1,0.002
108,2,0.473,1,0.282,3,0.137,72,0.055,45,0.035
112,2,0.920,66,0.025,59,0.024,65,0.008,71,0.007
114,2,0.611,1,0.331,3,0.032,45,0.012,71,0.008
118,2,0.738,59,0.059,84,0.045,66,0.033,63,0.026
119,2,0.900,65,0.042,66,0.023,59,0.022,84,0.003
126,3,0.914,45,0.030,84,0.021,2,0.020,71,0.003
129,3,0.616,71,0.104,31,0.046,1,0.037,135,0.032
130,3,0.935,1,0.034,2,0.013,72,0.005,71,0.004
132,3,0.981,1,0.007,45,0.003,71,0.001,86,0.001
133,3,0.462,2,0.265,71,0.201,1,0.032,72,0.014
134,3,0.929,71,0.021,45,0.013,1,0.010,72,0.005
135,3,0.948,71,0.020,1,0.014,45,0.009,72,0.003
139,3,0.409,45,0.201,84,0.051,58,0.022,8,0.020
144,3,0.870,142,0.043,61,0.043,66,0.010,58,0.006
146,3,0.524,66,0.111,62,0.082,71,0.071,2,0.060
147,3,0.938,1,0.019,71,0.012,86,0.006,72,0.003
149,3,0.873,1,0.086,72,0.019,71,0.010,45,0.004
150,3,0.821,1,0.064,186,0.027,71,0.015,91,0.008
154,2,0.356,71,0.155,1,0.155,3,0.126,72,0.043
155,3,0.835,1,0.109,2,0.033,71,0.017,45,0.003
156,1,0.386,3,0.366,45,0.181,2,0.032,86,0.008
157,3,0.655,1,0.309,45,0.020,72,0.004,71,0.003
161,3,0.791,1,0.146,2,0.036,45,0.017,72,0.003
162,3,0.490,1,0.413,45,0.036,2,0.026,71,0.017
163,1,0.694,3,0.248,71,0.017,72,0.011,8,0.006
165,3,0.957,45,0.033,1,0.003,84,0.002,71,0.001
167,3,0.897,71,0.030,72,0.023,1,0.021,45,0.018
169,3,0.791,1,0.145,71,0.026,2,0.019,72,0.012
170,3,0.830,142,0.111,71,0.043,1,0.006,72,0.004
171,3,0.695,58,0.043,19,0.033,45,0.028,8,0.025
173,3,0.923,1,0.061,2,0.006,45,0.003,71,0.003
175,3,0.669,1,0.066,71,0.063,91,0.020,8,0.012
178,3,0.828,1,0.157,72,0.006,71,0.004,45,0.004
179,4,0.873,27,0.053,30,0.026,29,0.019,26,0.016
180,4,0.888,30,0.047,107,0.023,29,0.020,27,0.010
183,4,0.812,98,0.026,105,0.022,30,0.020,27,0.010
