Loss,Acc,VLoss,Vacc,ETime,GTime
5.250,0.017,5.162,0.054,34.118,26.096
5.007,0.116,4.752,0.194,33.358,25.827
4.379,0.250,3.766,0.310,33.391,25.757
3.410,0.378,2.796,0.466,33.444,25.775
2.626,0.504,2.209,0.552,33.335,25.780
2.131,0.574,1.827,0.603,33.696,25.775
1.754,0.647,1.568,0.636,33.308,25.775
1.478,0.696,1.408,0.665,33.303,25.775
1.261,0.734,1.282,0.683,33.297,25.771
1.125,0.774,1.190,0.691,33.307,25.779
1.001,0.789,1.134,0.700,34.248,25.787
0.888,0.817,1.073,0.717,33.465,25.789
0.795,0.837,1.018,0.729,33.499,25.788
0.743,0.850,1.015,0.729,33.460,25.784
0.693,0.857,0.971,0.740,33.513,25.790
0.632,0.875,0.947,0.744,34.087,25.797
0.592,0.875,0.921,0.749,33.626,25.789
0.549,0.890,0.904,0.754,33.543,25.781
0.516,0.900,0.899,0.755,33.450,25.789
0.487,0.904,0.892,0.759,33.422,25.788
0.466,0.910,0.881,0.755,34.395,25.795
0.442,0.917,0.872,0.761,33.596,25.791
0.415,0.924,0.850,0.763,33.438,25.791
0.396,0.928,0.845,0.761,33.395,25.787
0.381,0.930,0.849,0.764,33.347,25.782
0.379,0.928,0.851,0.761,34.247,25.794
0.358,0.935,0.839,0.762,33.432,25.790
0.345,0.937,0.840,0.761,33.461,25.790
0.338,0.942,0.835,0.781,33.417,25.781
0.335,0.938,0.824,0.768,33.471,25.791
