#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.877,1,0.075,3,0.026,66,0.015,65,0.004
3,1,0.998,3,0.001,2,0.001,45,0.000,8,0.000
6,1,0.719,2,0.220,65,0.040,45,0.015,3,0.003
10,3,0.496,2,0.327,1,0.170,66,0.003,71,0.002
12,1,0.919,2,0.036,3,0.031,72,0.004,45,0.003
13,1,0.323,2,0.138,3,0.110,60,0.086,66,0.061
14,1,0.953,3,0.040,45,0.003,2,0.002,72,0.001
16,1,0.608,3,0.385,45,0.003,2,0.002,72,0.001
17,1,0.984,2,0.006,3,0.004,66,0.002,61,0.002
19,1,0.896,3,0.061,45,0.026,2,0.016,72,0.001
22,1,0.951,2,0.036,66,0.004,65,0.003,62,0.001
24,1,0.779,2,0.175,65,0.023,60,0.006,72,0.005
25,1,0.526,3,0.444,2,0.018,45,0.011,72,0.001
26,3,0.597,1,0.372,45,0.023,2,0.003,71,0.001
27,3,0.740,1,0.212,2,0.016,30,0.014,72,0.010
28,1,0.915,3,0.020,193,0.017,44,0.014,91,0.008
29,1,0.636,45,0.209,3,0.109,2,0.028,72,0.015
33,3,0.976,1,0.012,45,0.003,72,0.003,86,0.002
34,1,0.992,2,0.003,60,0.002,45,0.001,3,0.001
38,1,0.481,8,0.354,23,0.076,72,0.051,2,0.023
39,1,0.945,3,0.054,45,0.001,2,0.000,72,0.000
44,1,0.721,45,0.152,3,0.121,72,0.003,2,0.002
45,1,0.979,3,0.017,2,0.004,72,0.000,45,0.000
47,2,0.454,1,0.316,62,0.152,66,0.040,25,0.006
48,3,0.926,1,0.032,44,0.018,2,0.018,143,0.003
50,3,0.781,1,0.144,2,0.065,45,0.009,71,0.000
52,3,0.998,44,0.000,72,0.000,1,0.000,143,0.000
54,1,0.950,3,0.041,2,0.007,45,0.001,72,0.000
57,1,0.590,2,0.265,72,0.067,3,0.053,45,0.015
59,1,0.792,2,0.173,72,0.021,45,0.011,65,0.001
61,2,0.493,3,0.327,1,0.146,45,0.019,71,0.004
63,2,0.983,66,0.013,1,0.001,3,0.001,65,0.001
65,2,0.997,84,0.001,66,0.001,1,0.000,3,0.000
68,2,0.998,66,0.001,65,0.000,3,0.000,71,0.000
70,3,0.943,143,0.020,44,0.017,2,0.006,144,0.004
71,2,0.737,66,0.253,65,0.008,59,0.002,60,0.000
76,2,0.999,66,0.000,1,0.000,3,0.000,65,0.000
79,2,0.995,1,0.004,66,0.001,3,0.000,65,0.000
82,45,0.414,2,0.373,3,0.066,1,0.064,84,0.040
83,2,0.999,65,0.000,1,0.000,66,0.000,72,0.000
85,2,0.953,66,0.036,65,0.006,60,0.001,59,0.001
87,84,0.575,65,0.138,66,0.125,62,0.053,60,0.039
88,60,0.231,118,0.128,92,0.071,194,0.054,93,0.050
90,2,0.906,66,0.093,59,0.000,65,0.000,3,0.000
91,1,0.541,3,0.336,58,0.057,2,0.019,23,0.019
92,2,0.996,66,0.003,65,0.001,1,0.000,45,0.000
93,2,0.990,66,0.009,65,0.001,59,0.000,3,0.000
94,2,0.974,66,0.016,65,0.008,59,0.001,3,0.000
95,3,0.951,143,0.043,2,0.002,84,0.001,71,0.001
98,2,0.703,66,0.155,59,0.116,65,0.019,71,0.003
100,2,0.990,66,0.008,1,0.001,65,0.001,84,0.000
101,3,0.560,1,0.257,2,0.071,143,0.043,45,0.030
103,2,0.799,3,0.185,84,0.004,1,0.003,66,0.003
106,2,0.980,66,0.014,3,0.006,1,0.000,84,0.000
107,2,0.999,66,0.001,1,0.000,3,0.000,65,0.000
108,3,0.948,2,0.025,143,0.021,1,0.002,44,0.001
112,2,0.994,66,0.003,3,0.001,71,0.001,59,0.001
114,2,0.896,1,0.092,3,0.011,45,0.001,66,0.000
118,2,0.996,66,0.003,3,0.001,59,0.000,84,0.000
119,2,0.958,65,0.029,66,0.013,59,0.000,45,0.000
126,2,0.698,3,0.145,84,0.091,45,0.040,66,0.020
129,3,0.926,62,0.022,63,0.022,45,0.010,84,0.008
130,3,0.996,2,0.002,1,0.002,86,0.000,45,0.000
132,3,1.000,1,0.000,45,0.000,2,0.000,84,0.000
133,3,0.941,2,0.037,143,0.012,1,0.004,71,0.004
134,3,0.988,45,0.010,1,0.001,86,0.000,72,0.000
135,3,0.998,1,0.002,71,0.000,2,0.000,72,0.000
139,3,0.895,45,0.036,9,0.029,135,0.010,63,0.004
144,3,0.989,2,0.005,66,0.003,1,0.001,142,0.001
146,3,0.953,2,0.038,1,0.003,62,0.002,63,0.002
147,3,0.990,1,0.003,58,0.002,86,0.001,23,0.001
149,3,0.985,1,0.013,72,0.001,71,0.000,86,0.000
150,3,0.733,63,0.107,45,0.089,68,0.021,1,0.015
154,84,0.547,58,0.343,3,0.065,45,0.030,1,0.004
155,3,0.906,1,0.052,2,0.042,71,0.000,72,0.000
156,3,0.919,86,0.027,71,0.021,1,0.018,62,0.002
157,3,0.998,1,0.002,45,0.000,2,0.000,63,0.000
161,3,0.896,1,0.063,2,0.039,84,0.001,71,0.001
162,3,0.918,1,0.041,45,0.031,84,0.003,72,0.003
163,1,0.995,3,0.003,2,0.001,72,0.000,44,0.000
165,3,0.999,1,0.000,2,0.000,45,0.000,84,0.000
167,3,0.993,2,0.004,1,0.002,45,0.000,72,0.000
169,3,0.995,1,0.004,2,0.001,72,0.000,143,0.000
170,3,0.999,142,0.001,71,0.000,143,0.000,72,0.000
171,3,0.972,58,0.016,45,0.004,9,0.002,84,0.002
173,3,0.869,1,0.129,2,0.002,45,0.000,72,0.000
175,3,0.986,2,0.004,1,0.003,58,0.001,66,0.001
178,3,0.999,1,0.001,72,0.000,45,0.000,86,0.000
179,4,0.997,13,0.001,27,0.001,30,0.000,128,0.000
180,4,0.995,30,0.004,26,0.000,27,0.000,105,0.000
183,4,0.374,105,0.212,76,0.098,39,0.048,170,0.038
185,4,0.743,27,0.137,26,0.079,49,0.012,103,0.009
186,4,0.830,27,0.101,108,0.023,30,0.013,6,0.007
190,4,0.980,26,0.013,27,0.005,107,0.000,30,0.000
191,30,0.603,4,0.231,33,0.067,32,0.043,10,0.026
192,4,1.000,13,0.000,30,0.000,10,0.000,27,0.000
193,4,0.997,27,0.001,30,0.001,9,0.000,32,0.000
198,4,0.981,30,0.007,108,0.002,187,0.002,22,0.001
199,4,1.000,26,0.000,30,0.000,10,0.000,27,0.000
200,4,1.000,30,0.000,27,0.000,107,0.000,13,0.000
201,4,0.997,27,0.002,44,0.000,10,0.000,13,0.000
205,4,0.958,107,0.036,30,0.003,29,0.001,26,0.001
