#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.538,1,0.458,3,0.001,66,0.001,65,0.000
3,1,0.997,3,0.001,2,0.001,45,0.000,72,0.000
6,1,0.868,2,0.128,45,0.002,3,0.001,72,0.001
10,2,0.612,1,0.277,3,0.105,71,0.002,45,0.001
12,1,0.997,2,0.003,3,0.000,72,0.000,45,0.000
13,1,0.477,3,0.268,71,0.078,61,0.044,2,0.029
14,1,0.996,45,0.002,2,0.001,3,0.001,72,0.000
16,1,0.998,45,0.001,3,0.000,2,0.000,72,0.000
17,1,0.999,2,0.001,71,0.000,3,0.000,45,0.000
19,1,0.986,2,0.012,3,0.002,45,0.001,72,0.000
22,1,0.970,2,0.029,45,0.000,65,0.000,66,0.000
24,1,0.994,2,0.006,45,0.000,3,0.000,72,0.000
25,1,0.987,3,0.006,72,0.003,45,0.002,71,0.001
26,1,0.917,3,0.072,2,0.008,45,0.002,66,0.000
27,1,0.997,3,0.001,2,0.001,72,0.001,23,0.000
28,3,0.748,1,0.152,45,0.057,23,0.015,72,0.013
29,1,0.843,3,0.062,45,0.045,2,0.043,72,0.007
33,1,0.791,3,0.198,23,0.004,72,0.003,2,0.002
34,1,0.979,2,0.021,45,0.000,3,0.000,65,0.000
38,1,0.997,72,0.001,2,0.001,3,0.001,23,0.000
39,1,1.000,45,0.000,3,0.000,2,0.000,72,0.000
44,1,0.787,3,0.170,2,0.029,45,0.011,72,0.002
45,1,0.920,3,0.079,2,0.001,45,0.000,72,0.000
47,1,0.999,2,0.001,65,0.000,100,0.000,23,0.000
48,2,0.525,1,0.365,3,0.068,100,0.019,72,0.014
50,1,0.552,3,0.431,2,0.007,45,0.006,72,0.003
52,3,0.982,1,0.014,72,0.001,2,0.001,45,0.001
54,1,0.997,23,0.002,3,0.001,72,0.000,45,0.000
57,1,0.750,72,0.117,3,0.083,45,0.024,2,0.023
59,1,0.966,2,0.030,72,0.001,3,0.001,45,0.001
61,1,0.605,2,0.333,3,0.034,45,0.017,72,0.004
63,2,0.995,1,0.003,3,0.001,66,0.000,45,0.000
65,2,0.999,1,0.001,66,0.000,65,0.000,3,0.000
68,2,0.999,1,0.000,65,0.000,3,0.000,44,0.000
70,101,0.706,100,0.204,2,0.050,143,0.013,3,0.010
71,2,0.992,65,0.004,66,0.003,44,0.000,3,0.000
76,2,0.997,1,0.001,3,0.001,45,0.000,66,0.000
79,2,0.965,1,0.034,3,0.001,45,0.001,65,0.000
82,2,0.949,3,0.024,1,0.018,45,0.008,72,0.001
83,2,0.998,44,0.001,1,0.000,65,0.000,72,0.000
85,2,0.998,1,0.000,45,0.000,65,0.000,3,0.000
87,84,0.422,45,0.226,63,0.165,65,0.037,64,0.037
88,2,0.830,65,0.056,110,0.031,1,0.022,72,0.014
90,2,0.998,66,0.001,3,0.000,1,0.000,65,0.000
91,1,0.779,51,0.087,46,0.033,66,0.020,61,0.016
92,2,0.997,1,0.002,66,0.001,65,0.000,45,0.000
93,2,0.999,65,0.001,44,0.000,66,0.000,1,0.000
94,2,0.994,66,0.005,65,0.001,44,0.000,1,0.000
95,2,0.916,3,0.075,71,0.002,1,0.001,45,0.001
98,2,0.991,65,0.005,45,0.001,66,0.001,44,0.001
100,2,0.963,3,0.018,1,0.008,45,0.007,71,0.001
101,3,0.489,2,0.407,1,0.080,72,0.010,45,0.008
103,2,0.975,1,0.019,3,0.005,66,0.001,44,0.000
106,2,0.998,1,0.001,3,0.000,66,0.000,45,0.000
107,2,0.999,1,0.001,66,0.000,65,0.000,3,0.000
108,2,0.871,3,0.089,72,0.018,1,0.008,44,0.006
112,2,0.997,59,0.001,3,0.001,66,0.001,65,0.000
114,2,0.806,1,0.181,3,0.012,45,0.000,72,0.000
118,2,0.957,66,0.033,3,0.003,59,0.002,65,0.001
119,2,0.991,66,0.006,65,0.001,59,0.001,3,0.000
126,3,0.996,2,0.003,45,0.001,84,0.001,71,0.000
129,3,0.994,5,0.001,71,0.001,84,0.000,45,0.000
130,3,0.959,1,0.038,2,0.002,45,0.001,72,0.000
132,3,1.000,45,0.000,1,0.000,71,0.000,5,0.000
133,3,0.916,2,0.070,71,0.006,1,0.005,72,0.002
134,3,0.964,45,0.022,1,0.012,72,0.000,86,0.000
135,3,0.999,1,0.001,72,0.000,71,0.000,45,0.000
139,3,0.872,45,0.049,2,0.024,93,0.012,71,0.010
144,3,0.997,2,0.001,1,0.001,45,0.001,66,0.000
146,3,0.987,71,0.004,5,0.002,63,0.001,185,0.001
147,3,0.959,1,0.034,45,0.006,2,0.001,66,0.000
149,3,0.951,1,0.048,45,0.000,72,0.000,71,0.000
150,3,0.707,45,0.227,185,0.007,62,0.004,86,0.003
154,3,0.562,1,0.289,2,0.100,66,0.012,45,0.010
155,3,0.937,1,0.058,2,0.005,71,0.000,72,0.000
156,3,0.991,1,0.004,45,0.001,23,0.001,5,0.000
157,1,0.924,3,0.075,45,0.001,2,0.000,72,0.000
161,3,0.978,1,0.017,45,0.002,2,0.002,72,0.001
162,1,0.907,3,0.079,2,0.012,45,0.002,72,0.001
163,3,0.551,1,0.442,23,0.002,2,0.002,71,0.001
165,3,0.989,45,0.008,1,0.002,72,0.000,2,0.000
167,3,0.975,1,0.023,45,0.001,72,0.000,8,0.000
169,3,0.972,1,0.016,2,0.009,45,0.001,72,0.000
170,3,0.994,71,0.004,1,0.001,142,0.000,72,0.000
171,3,0.776,5,0.062,45,0.044,8,0.040,84,0.014
173,3,0.991,1,0.006,2,0.003,45,0.000,72,0.000
175,3,0.999,71,0.000,1,0.000,2,0.000,45,0.000
178,3,0.830,1,0.168,45,0.001,72,0.000,71,0.000
179,4,0.996,30,0.003,27,0.001,107,0.000,29,0.000
180,4,0.999,107,0.000,128,0.000,30,0.000,54,0.000
183,4,0.963,52,0.006,54,0.004,27,0.004,107,0.002
185,4,0.998,27,0.001,13,0.001,107,0.000,54,0.000
186,4,0.792,128,0.079,30,0.039,150,0.023,194,0.009
190,4,0.987,27,0.008,26,0.003,29,0.001,107,0.000
191,4,0.858,13,0.056,27,0.040,32,0.019,12,0.010
192,4,0.998,27,0.001,30,0.000,32,0.000,26,0.000
193,4,0.997,27,0.003,30,0.000,32,0.000,107,0.000
198,4,0.999,27,0.000,30,0.000,22,0.000,26,0.000
199,4,0.999,30,0.000,27,0.000,107,0.000,32,0.000
200,4,0.999,27,0.001,30,0.000,107,0.000,32,0.000
201,4,0.996,27,0.003,107,0.000,26,0.000,30,0.000
205,4,0.913,107,0.081,108,0.003,30,0.000,29,0.000
207,4,0.999,27,0.001,54,0.000,30,0.000,26,0.000
208,4,0.999,27,0.000,187,0.000,107,0.000,54,0.000
210,4,0.926,27,0.041,30,0.022,29,0.004,9,0.003
211,4,1.000,27,0.000,54,0.000,107,0.000,30,0.000
212,4,0.985,32,0.009,27,0.003,13,0.001,30,0.001
214,4,0.996,27,0.004,32,0.000,30,0.000,13,0.000
217,4,0.989,107,0.004,26,0.001,187,0.001,22,0.001
219,4,0.984,187,0.004,18,0.002,107,0.002,105,0.001
223,29,0.469,4,0.246,107,0.223,30,0.050,108,0.005
226,4,0.970,107,0.025,27,0.001,102,0.001,30,0.001
229,4,0.977,22,0.010,107,0.003,105,0.001,187,0.001
231,4,0.946,107,0.036,30,0.008,27,0.002,108,0.001
233,4,0.999,27,0.001,22,0.000,105,0.000,30,0.000
234,4,0.995,107,0.003,29,0.000,27,0.000,54,0.000
236,4,0.999,27,0.000,26,0.000,30,0.000,107,0.000
237,4,0.998,107,0.002,27,0.000,30,0.000,108,0.000
239,5,0.999,7,0.000,8,0.000,24,0.000,3,0.000
240,5,1.000,7,0.000,8,0.000,24,0.000,3,0.000
244,8,0.446,6,0.089,52,0.076,86,0.064,9,0.063
246,5,0.982,166,0.007,8,0.003,96,0.002,7,0.001
251,5,0.999,7,0.001,8,0.000,24,0.000,26,0.000
252,5,0.906,7,0.074,185,0.003,6,0.003,132,0.002
255,5,0.999,7,0.001,8,0.000,58,0.000,24,0.000
259,5,0.999,7,0.001,24,0.000,8,0.000,9,0.000
260,5,0.999,24,0.000,7,0.000,8,0.000,58,0.000
265,5,0.990,7,0.009,26,0.000,24,0.000,8,0.000
271,5,0.906,26,0.037,24,0.033,25,0.010,10,0.005
277,5,0.993,8,0.003,7,0.001,166,0.001,185,0.000
279,5,0.934,7,0.048,8,0.004,6,0.003,3,0.001
282,5,0.981,8,0.015,7,0.002,24,0.000,166,0.000
286,6,0.996,7,0.002,187,0.001,36,0.000,92,0.000
292,6,0.984,187,0.002,7,0.001,159,0.001,190,0.001
298,6,0.910,7,0.075,187,0.003,58,0.002,108,0.001
300,6,0.942,190,0.032,36,0.004,7,0.003,187,0.001
304,6,0.854,120,0.020,8,0.014,128,0.013,7,0.013
308,6,0.998,7,0.001,192,0.000,187,0.000,8,0.000
309,6,0.998,7,0.000,164,0.000,190,0.000,159,0.000
311,58,0.224,89,0.161,8,0.140,72,0.087,86,0.051
312,6,0.998,7,0.002,58,0.000,9,0.000,118,0.000
314,6,0.998,7,0.001,81,0.000,192,0.000,159,0.000
315,6,0.979,7,0.009,187,0.003,92,0.001,65,0.000
325,7,0.998,5,0.000,58,0.000,6,0.000,132,0.000
329,7,0.952,5,0.037,6,0.006,58,0.002,8,0.001
330,7,0.999,5,0.000,6,0.000,146,0.000,132,0.000
337,7,0.846,6,0.144,5,0.004,34,0.001,65,0.000
340,7,0.981,5,0.018,9,0.000,6,0.000,58,0.000
343,7,0.989,5,0.010,141,0.000,58,0.000,8,0.000
344,7,0.927,6,0.069,5,0.001,58,0.000,8,0.000
346,7,0.856,5,0.120,106,0.005,8,0.004,58,0.003
348,7,0.938,5,0.041,8,0.005,89,0.004,106,0.003
350,7,0.940,5,0.045,58,0.011,8,0.001,24,0.001
351,7,0.998,5,0.001,6,0.001,132,0.000,58,0.000
352,7,0.999,5,0.000,6,0.000,146,0.000,58,0.000
354,8,0.939,5,0.018,7,0.018,45,0.006,72,0.006
356,7,0.998,5,0.001,6,0.000,58,0.000,8,0.000
357,7,0.956,6,0.043,5,0.001,8,0.000,187,0.000
360,7,0.992,6,0.008,5,0.000,8,0.000,118,0.000
363,7,0.965,6,0.032,5,0.001,65,0.000,92,0.000
365,7,0.982,6,0.014,89,0.001,5,0.000,58,0.000
369,7,0.999,5,0.001,6,0.000,8,0.000,58,0.000
370,7,0.969,6,0.031,118,0.000,5,0.000,58,0.000
371,7,0.948,108,0.025,5,0.008,9,0.002,21,0.002
372,7,0.973,5,0.024,141,0.001,8,0.000,6,0.000
373,7,0.968,5,0.015,8,0.010,6,0.002,72,0.001
381,8,0.991,9,0.003,23,0.001,58,0.001,27,0.001
382,8,0.563,72,0.363,86,0.059,23,0.007,1,0.006
383,8,0.980,1,0.014,5,0.002,72,0.001,23,0.001
384,7,0.378,145,0.094,6,0.092,5,0.067,146,0.059
386,86,0.455,8,0.332,25,0.134,58,0.030,72,0.015
387,8,0.728,5,0.140,7,0.032,91,0.009,64,0.008
389,8,0.995,23,0.002,1,0.001,72,0.000,25,0.000
391,8,0.974,72,0.010,23,0.009,5,0.002,27,0.001
394,8,0.995,5,0.003,23,0.001,3,0.000,58,0.000
405,8,0.978,23,0.010,1,0.005,72,0.003,86,0.001
407,8,0.980,23,0.011,52,0.003,5,0.002,1,0.001
408,8,0.684,52,0.278,86,0.027,72,0.005,23,0.001
410,8,0.935,72,0.026,89,0.025,21,0.003,5,0.002
412,8,0.879,5,0.097,7,0.016,58,0.002,9,0.002
419,8,0.967,5,0.026,58,0.002,87,0.001,46,0.001
420,8,0.934,23,0.053,25,0.007,58,0.002,72,0.001
422,8,0.999,72,0.000,86,0.000,23,0.000,25,0.000
424,8,0.474,25,0.263,1,0.099,50,0.068,23,0.024
425,9,0.866,27,0.057,49,0.029,30,0.014,23,0.009
430,9,0.538,27,0.443,29,0.007,11,0.005,19,0.004
434,49,0.535,9,0.156,134,0.130,27,0.046,11,0.033
435,9,0.535,27,0.270,26,0.119,29,0.041,11,0.023
438,49,0.599,30,0.136,74,0.097,107,0.034,29,0.021
439,27,0.402,9,0.225,29,0.174,13,0.129,11,0.016
440,19,0.756,9,0.079,27,0.066,104,0.041,11,0.024
442,49,0.835,134,0.143,9,0.004,70,0.002,14,0.002
443,9,0.953,134,0.031,49,0.006,27,0.004,14,0.003
445,27,0.972,49,0.016,9,0.005,29,0.003,11,0.001
447,9,0.872,11,0.058,27,0.029,103,0.006,29,0.006
448,9,0.994,11,0.003,29,0.002,49,0.001,27,0.000
449,9,0.987,27,0.009,11,0.002,29,0.001,19,0.000
450,9,0.670,11,0.216,58,0.030,199,0.028,29,0.018
451,27,0.500,29,0.391,9,0.077,11,0.009,49,0.006
453,9,0.947,27,0.048,29,0.004,26,0.001,19,0.000
454,9,0.526,26,0.100,30,0.077,49,0.067,5,0.056
455,29,0.958,9,0.014,49,0.010,27,0.009,11,0.003
457,9,0.808,49,0.173,19,0.006,27,0.005,134,0.004
458,9,0.546,27,0.435,11,0.010,19,0.003,49,0.002
459,27,0.454,29,0.306,9,0.162,11,0.052,30,0.016
462,9,0.962,27,0.026,49,0.005,134,0.002,11,0.002
463,9,0.829,8,0.079,58,0.038,46,0.017,86,0.011
468,9,0.879,11,0.081,27,0.023,29,0.011,26,0.003
472,29,0.642,26,0.219,11,0.044,9,0.030,30,0.021
473,9,0.993,49,0.005,134,0.001,29,0.001,27,0.000
475,9,0.998,11,0.001,29,0.000,49,0.000,27,0.000
480,9,0.999,11,0.000,134,0.000,49,0.000,5,0.000
483,9,0.927,29,0.034,27,0.033,11,0.007,26,0.000
487,10,0.996,109,0.002,30,0.001,13,0.001,12,0.000
488,9,0.520,27,0.206,29,0.087,26,0.061,49,0.044
492,10,0.999,12,0.000,109,0.000,26,0.000,13,0.000
493,10,0.978,109,0.017,58,0.000,26,0.000,98,0.000
494,10,0.999,12,0.000,13,0.000,58,0.000,109,0.000
498,10,0.981,26,0.006,109,0.004,29,0.001,30,0.001
499,76,0.658,13,0.136,27,0.056,126,0.021,160,0.016
501,10,0.992,109,0.003,58,0.001,29,0.001,30,0.001
503,10,0.998,12,0.001,109,0.000,24,0.000,5,0.000
506,10,0.997,109,0.001,29,0.000,26,0.000,58,0.000
508,10,0.998,109,0.001,12,0.000,26,0.000,24,0.000
509,10,0.967,26,0.003,12,0.002,109,0.002,192,0.002
510,10,0.986,109,0.006,26,0.004,29,0.001,58,0.000
512,10,0.768,109,0.227,27,0.001,26,0.001,29,0.000
513,10,0.995,109,0.002,12,0.000,26,0.000,98,0.000
514,10,0.789,26,0.062,13,0.023,98,0.023,11,0.013
516,10,0.998,26,0.000,109,0.000,58,0.000,12,0.000
517,10,0.952,12,0.037,44,0.005,24,0.001,30,0.001
519,10,0.994,109,0.002,58,0.001,12,0.000,26,0.000
521,10,0.999,26,0.000,29,0.000,12,0.000,109,0.000
522,10,0.981,26,0.011,13,0.004,29,0.001,27,0.000
525,10,0.989,109,0.006,26,0.001,5,0.001,98,0.001
526,109,0.687,10,0.311,97,0.001,98,0.000,12,0.000
528,10,0.987,26,0.002,109,0.001,58,0.001,29,0.001
532,10,0.996,26,0.001,58,0.000,109,0.000,12,0.000
534,10,0.994,26,0.001,58,0.001,12,0.000,24,0.000
