#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.656,1,0.314,3,0.022,66,0.003,71,0.001
3,1,0.994,3,0.004,45,0.001,2,0.000,8,0.000
6,1,0.961,2,0.028,45,0.006,72,0.002,65,0.002
10,3,0.410,2,0.327,1,0.253,45,0.003,66,0.002
12,1,0.972,3,0.012,23,0.005,45,0.004,2,0.002
13,71,0.257,46,0.152,3,0.121,1,0.102,61,0.100
14,1,0.995,3,0.004,45,0.001,2,0.000,23,0.000
16,1,0.968,3,0.019,2,0.006,23,0.003,58,0.001
17,1,0.992,3,0.003,71,0.001,58,0.001,23,0.000
19,1,0.999,3,0.000,2,0.000,45,0.000,58,0.000
22,1,0.992,2,0.006,65,0.001,45,0.000,3,0.000
24,1,1.000,45,0.000,3,0.000,2,0.000,72,0.000
25,1,0.932,2,0.061,3,0.004,45,0.001,72,0.001
26,3,0.733,1,0.260,45,0.004,58,0.001,2,0.001
27,1,0.943,2,0.030,72,0.018,23,0.004,3,0.002
28,1,0.771,3,0.059,72,0.055,8,0.034,49,0.014
29,3,0.986,1,0.006,45,0.002,72,0.001,44,0.001
33,1,0.427,58,0.184,3,0.144,23,0.141,25,0.025
34,1,0.966,2,0.029,3,0.003,45,0.001,65,0.000
38,1,0.949,3,0.031,2,0.013,45,0.005,72,0.001
39,1,0.991,3,0.008,45,0.001,58,0.000,2,0.000
44,1,0.763,2,0.148,45,0.065,3,0.023,72,0.001
45,1,0.639,3,0.288,23,0.027,58,0.019,2,0.017
47,1,0.604,2,0.391,100,0.002,65,0.001,44,0.001
48,3,0.924,44,0.036,2,0.014,71,0.008,1,0.006
50,1,0.893,3,0.080,2,0.024,45,0.001,71,0.001
52,3,0.992,2,0.004,1,0.001,44,0.001,45,0.001
54,1,0.996,2,0.002,3,0.001,45,0.000,23,0.000
57,3,0.302,2,0.277,44,0.197,72,0.106,1,0.050
59,1,0.992,45,0.006,2,0.001,3,0.000,8,0.000
61,1,0.383,2,0.228,3,0.204,44,0.116,72,0.021
63,2,0.989,3,0.004,66,0.003,1,0.001,59,0.001
65,2,0.996,1,0.002,65,0.001,3,0.000,45,0.000
68,2,0.987,71,0.007,45,0.002,3,0.002,1,0.001
70,101,0.563,44,0.133,3,0.089,100,0.056,143,0.034
71,2,0.661,44,0.197,66,0.096,65,0.032,59,0.007
76,2,0.998,3,0.001,84,0.000,1,0.000,59,0.000
79,2,0.988,1,0.008,3,0.003,65,0.001,72,0.000
82,2,0.744,45,0.141,3,0.042,84,0.038,63,0.011
83,2,0.999,44,0.001,71,0.000,100,0.000,65,0.000
85,2,0.985,3,0.005,1,0.004,45,0.003,65,0.002
87,65,0.335,84,0.278,66,0.122,2,0.118,62,0.088
88,2,0.374,100,0.184,71,0.126,110,0.080,1,0.055
90,2,0.910,66,0.074,59,0.007,44,0.004,65,0.003
91,1,0.272,58,0.271,2,0.154,25,0.115,46,0.061
92,2,0.989,65,0.009,1,0.001,66,0.000,3,0.000
93,2,0.999,3,0.000,1,0.000,65,0.000,44,0.000
94,2,0.999,66,0.001,44,0.000,59,0.000,65,0.000
95,3,0.582,2,0.396,71,0.007,44,0.005,143,0.002
98,2,0.990,59,0.002,66,0.002,65,0.001,44,0.001
100,2,0.988,1,0.005,3,0.002,65,0.002,44,0.001
101,3,0.681,84,0.082,44,0.062,2,0.037,45,0.026
103,2,0.986,3,0.007,66,0.003,44,0.001,1,0.000
106,2,0.995,3,0.004,1,0.000,84,0.000,62,0.000
107,2,0.999,3,0.000,44,0.000,1,0.000,65,0.000
108,2,0.988,3,0.011,1,0.001,44,0.000,45,0.000
112,2,0.989,59,0.004,66,0.002,3,0.002,1,0.000
114,2,0.926,1,0.060,3,0.010,71,0.001,44,0.001
118,2,0.993,3,0.004,66,0.001,59,0.000,84,0.000
119,2,0.978,59,0.007,66,0.006,65,0.004,3,0.001
126,3,0.999,2,0.001,45,0.000,84,0.000,58,0.000
129,3,0.994,1,0.003,71,0.001,2,0.000,62,0.000
130,3,0.988,2,0.007,1,0.004,58,0.000,84,0.000
132,3,1.000,2,0.000,1,0.000,58,0.000,141,0.000
133,3,0.941,2,0.045,71,0.006,1,0.005,45,0.001
134,3,1.000,45,0.000,1,0.000,185,0.000,141,0.000
135,3,1.000,1,0.000,2,0.000,58,0.000,45,0.000
139,3,0.953,45,0.021,1,0.015,84,0.002,62,0.001
144,3,0.999,2,0.000,58,0.000,1,0.000,142,0.000
146,3,0.999,1,0.001,2,0.000,71,0.000,62,0.000
147,3,0.940,1,0.054,2,0.006,45,0.000,66,0.000
149,3,0.973,1,0.024,71,0.001,72,0.000,58,0.000
150,3,0.993,45,0.003,2,0.002,1,0.001,62,0.001
154,3,0.805,58,0.050,2,0.047,71,0.019,1,0.012
155,3,0.982,1,0.010,2,0.009,71,0.000,45,0.000
156,1,0.257,58,0.222,45,0.168,3,0.133,65,0.111
157,3,0.994,1,0.006,45,0.000,2,0.000,58,0.000
161,3,0.985,1,0.010,2,0.004,45,0.001,84,0.000
162,3,0.753,45,0.217,1,0.022,65,0.003,84,0.002
163,1,0.575,3,0.416,2,0.006,58,0.001,66,0.001
165,3,0.998,2,0.001,45,0.001,1,0.000,62,0.000
167,3,0.991,2,0.006,1,0.002,58,0.000,72,0.000
169,3,0.993,1,0.003,2,0.001,45,0.001,71,0.000
170,3,0.994,142,0.004,71,0.001,1,0.000,58,0.000
171,3,0.584,58,0.182,8,0.123,5,0.015,49,0.010
173,3,1.000,2,0.000,1,0.000,45,0.000,71,0.000
175,3,0.999,1,0.001,2,0.000,58,0.000,71,0.000
178,3,0.994,1,0.006,2,0.000,45,0.000,58,0.000
179,4,0.792,30,0.157,27,0.024,26,0.021,11,0.002
180,4,0.998,26,0.000,187,0.000,29,0.000,30,0.000
183,4,0.617,27,0.169,43,0.024,160,0.016,170,0.014
185,4,0.985,54,0.003,32,0.002,27,0.002,108,0.001
186,4,0.998,30,0.001,26,0.000,92,0.000,128,0.000
190,4,0.990,30,0.004,26,0.002,29,0.002,107,0.001
191,13,0.644,4,0.302,32,0.025,30,0.017,108,0.006
192,4,0.997,30,0.002,26,0.001,27,0.000,32,0.000
193,4,0.994,27,0.003,30,0.001,26,0.001,32,0.000
198,4,0.934,27,0.006,26,0.006,92,0.005,22,0.005
199,4,1.000,30,0.000,107,0.000,108,0.000,27,0.000
200,4,0.997,30,0.001,27,0.001,26,0.000,31,0.000
201,4,0.996,26,0.001,30,0.001,27,0.000,29,0.000
205,4,0.549,107,0.438,108,0.008,30,0.003,29,0.000
207,4,0.999,27,0.000,54,0.000,108,0.000,74,0.000
208,4,0.995,187,0.002,29,0.001,27,0.001,108,0.000
210,4,0.403,29,0.150,11,0.102,27,0.073,30,0.064
211,4,0.998,30,0.001,26,0.000,107,0.000,80,0.000
212,4,0.997,32,0.002,30,0.001,37,0.000,80,0.000
214,4,0.992,27,0.004,30,0.003,107,0.000,74,0.000
217,4,0.932,108,0.024,13,0.007,107,0.007,44,0.003
219,4,0.949,108,0.013,44,0.004,13,0.004,30,0.003
223,29,0.852,4,0.054,30,0.033,107,0.019,9,0.012
226,4,0.953,30,0.024,107,0.013,29,0.005,27,0.001
229,4,0.994,22,0.004,92,0.000,105,0.000,187,0.000
231,4,0.750,107,0.190,30,0.046,108,0.006,44,0.003
233,4,0.975,26,0.011,27,0.006,30,0.004,128,0.001
234,4,0.987,30,0.007,107,0.002,29,0.001,27,0.001
236,4,0.990,30,0.005,108,0.003,107,0.001,29,0.000
237,4,0.999,30,0.000,27,0.000,108,0.000,107,0.000
239,5,0.998,24,0.001,8,0.000,7,0.000,9,0.000
240,5,0.999,7,0.000,58,0.000,24,0.000,8,0.000
244,8,0.789,58,0.071,6,0.025,7,0.019,9,0.014
246,5,0.975,8,0.014,106,0.005,7,0.002,24,0.001
251,5,0.998,7,0.001,24,0.000,10,0.000,166,0.000
252,5,0.979,7,0.020,6,0.001,24,0.000,8,0.000
255,5,0.997,8,0.003,7,0.000,58,0.000,106,0.000
259,5,0.998,24,0.001,7,0.001,106,0.000,10,0.000
260,5,0.994,24,0.006,7,0.000,10,0.000,106,0.000
265,5,0.840,7,0.152,8,0.006,24,0.000,58,0.000
271,5,0.681,24,0.223,58,0.031,25,0.020,10,0.019
277,5,0.998,24,0.001,7,0.000,8,0.000,71,0.000
279,5,0.933,7,0.065,6,0.000,26,0.000,24,0.000
282,5,0.996,7,0.003,8,0.001,58,0.000,71,0.000
286,6,0.995,7,0.004,58,0.000,40,0.000,34,0.000
292,6,0.995,7,0.002,40,0.001,92,0.001,58,0.000
298,7,0.735,6,0.251,58,0.005,106,0.001,84,0.001
300,6,0.889,7,0.031,58,0.026,187,0.020,190,0.015
304,6,0.982,58,0.008,7,0.004,8,0.003,40,0.001
308,6,0.997,7,0.001,58,0.000,8,0.000,92,0.000
309,6,0.998,81,0.000,7,0.000,58,0.000,63,0.000
311,6,0.397,58,0.307,187,0.051,8,0.050,72,0.048
312,6,0.986,7,0.013,58,0.000,34,0.000,9,0.000
314,6,0.989,7,0.005,58,0.003,122,0.001,81,0.001
315,6,0.991,40,0.005,7,0.002,92,0.001,120,0.000
325,7,0.999,6,0.000,58,0.000,141,0.000,122,0.000
329,7,0.995,58,0.002,8,0.001,5,0.001,6,0.001
330,7,0.999,5,0.000,6,0.000,8,0.000,106,0.000
337,7,0.988,6,0.009,8,0.001,58,0.000,106,0.000
340,7,0.999,5,0.001,58,0.000,26,0.000,6,0.000
343,7,1.000,5,0.000,58,0.000,6,0.000,84,0.000
344,7,0.975,6,0.022,58,0.002,5,0.001,8,0.000
346,7,0.968,8,0.014,5,0.012,58,0.004,108,0.001
348,7,0.992,8,0.004,5,0.001,106,0.001,58,0.001
350,7,0.987,5,0.005,58,0.003,26,0.002,9,0.001
351,7,0.994,58,0.002,5,0.002,6,0.000,8,0.000
352,7,0.999,6,0.000,5,0.000,58,0.000,8,0.000
354,7,0.670,8,0.292,5,0.015,58,0.004,6,0.002
356,7,0.999,58,0.001,84,0.000,6,0.000,8,0.000
357,7,0.999,5,0.000,6,0.000,58,0.000,8,0.000
360,7,0.997,6,0.001,8,0.001,5,0.000,58,0.000
363,7,0.945,6,0.047,58,0.002,8,0.002,36,0.001
365,7,0.968,58,0.007,72,0.004,6,0.003,87,0.002
369,7,1.000,58,0.000,5,0.000,106,0.000,84,0.000
370,7,0.999,6,0.000,58,0.000,5,0.000,8,0.000
371,7,0.983,5,0.007,8,0.003,6,0.001,58,0.001
372,7,0.838,5,0.089,8,0.030,6,0.006,58,0.003
373,7,0.991,8,0.004,5,0.004,6,0.001,58,0.000
381,8,0.999,6,0.001,5,0.000,106,0.000,23,0.000
382,8,0.711,1,0.163,23,0.102,72,0.007,25,0.005
383,8,0.969,1,0.010,72,0.006,23,0.005,45,0.003
384,7,0.295,145,0.228,143,0.112,65,0.043,8,0.042
386,8,0.484,25,0.204,86,0.126,51,0.048,58,0.036
387,8,0.622,5,0.093,58,0.040,46,0.038,147,0.036
389,8,0.956,1,0.031,25,0.005,51,0.003,23,0.003
391,8,0.528,23,0.361,72,0.032,6,0.015,25,0.015
394,8,0.999,7,0.000,58,0.000,5,0.000,23,0.000
405,8,0.996,1,0.002,23,0.001,72,0.000,45,0.000
407,8,0.990,58,0.005,5,0.002,1,0.001,23,0.001
408,52,0.721,8,0.196,50,0.031,51,0.014,86,0.011
410,8,0.969,89,0.010,90,0.009,51,0.007,72,0.001
412,8,0.921,5,0.072,7,0.004,106,0.001,71,0.001
419,8,0.909,5,0.079,58,0.005,3,0.003,23,0.002
420,8,0.672,50,0.145,25,0.074,58,0.056,51,0.032
422,8,0.501,25,0.131,86,0.118,51,0.068,23,0.032
424,8,0.950,25,0.031,5,0.011,23,0.003,58,0.001
425,9,0.750,49,0.095,27,0.031,6,0.023,30,0.021
430,27,0.664,29,0.216,9,0.109,26,0.005,30,0.003
434,9,0.725,29,0.122,49,0.082,27,0.049,142,0.007
435,9,0.432,29,0.317,26,0.123,27,0.057,30,0.044
438,30,0.621,74,0.107,107,0.071,29,0.050,4,0.044
439,30,0.770,29,0.110,9,0.043,26,0.032,27,0.013
440,19,0.887,27,0.051,104,0.014,9,0.007,91,0.007
442,49,0.982,134,0.016,9,0.002,11,0.000,27,0.000
443,9,0.853,134,0.126,14,0.008,49,0.007,11,0.002
445,27,0.493,11,0.369,9,0.041,26,0.020,21,0.016
447,9,0.301,11,0.210,29,0.162,30,0.097,49,0.052
448,9,0.800,49,0.065,27,0.063,29,0.042,30,0.016
449,9,0.975,27,0.017,11,0.003,26,0.001,29,0.001
450,9,0.690,58,0.171,49,0.068,11,0.022,27,0.010
451,29,0.954,27,0.038,9,0.007,30,0.001,26,0.000
453,9,0.982,27,0.017,29,0.000,26,0.000,11,0.000
454,49,0.289,30,0.189,27,0.135,58,0.106,108,0.082
455,29,0.931,142,0.032,11,0.012,9,0.010,30,0.004
457,9,0.997,49,0.001,134,0.000,11,0.000,27,0.000
458,9,0.978,27,0.018,49,0.002,134,0.001,11,0.001
459,27,0.536,9,0.325,30,0.073,26,0.044,11,0.010
462,9,0.996,29,0.002,27,0.001,134,0.000,49,0.000
463,9,0.704,58,0.221,89,0.020,49,0.019,25,0.009
468,27,0.981,26,0.006,30,0.004,9,0.004,29,0.001
472,91,0.417,29,0.205,150,0.120,102,0.080,49,0.020
473,9,0.989,26,0.003,134,0.002,49,0.002,29,0.001
475,9,0.984,11,0.010,26,0.002,142,0.002,29,0.001
480,9,0.990,11,0.008,134,0.001,26,0.001,29,0.000
483,9,0.985,29,0.014,11,0.001,142,0.000,26,0.000
487,10,0.999,109,0.000,26,0.000,13,0.000,12,0.000
488,9,0.637,26,0.150,10,0.086,58,0.028,27,0.026
492,10,0.999,26,0.000,109,0.000,24,0.000,58,0.000
493,10,0.995,27,0.002,97,0.001,26,0.001,109,0.001
494,10,0.999,26,0.000,12,0.000,24,0.000,139,0.000
