Loss,Acc,VLoss,Vacc,ETime,GTime
4.338,0.155,2.215,0.459,44.576,36.441
1.671,0.571,1.129,0.676,43.993,36.220
0.832,0.770,0.919,0.735,43.859,36.103
0.488,0.871,0.835,0.770,43.935,36.177
0.283,0.935,0.778,0.780,43.965,36.130
0.189,0.958,0.787,0.768,44.163,36.142
0.139,0.972,0.782,0.784,43.947,36.152
0.096,0.982,0.755,0.798,43.850,36.139
0.067,0.990,0.773,0.790,43.902,36.151
0.059,0.991,0.779,0.793,43.909,36.148
0.047,0.994,0.792,0.787,44.572,36.139
0.040,0.994,0.788,0.795,43.920,36.143
0.034,0.996,0.775,0.789,43.784,36.146
0.032,0.997,0.774,0.791,43.789,36.130
0.026,0.998,0.786,0.799,43.894,36.134
0.023,0.998,0.768,0.796,44.214,36.143
0.022,0.997,0.777,0.796,43.877,36.142
0.019,0.999,0.782,0.795,44.283,36.120
0.020,0.998,0.785,0.800,43.751,36.142
0.020,0.998,0.776,0.798,43.881,36.131
