Loss,Acc,VLoss,Vacc,ETime,GTime
3.722,0.213,1.716,0.524,44.300,36.046
1.354,0.624,1.169,0.660,43.494,35.824
0.734,0.787,1.081,0.676,43.828,36.158
0.418,0.874,1.088,0.704,43.671,36.053
0.236,0.935,1.017,0.705,43.712,36.048
0.174,0.955,0.996,0.733,43.908,36.067
0.119,0.971,1.007,0.737,43.657,36.048
0.087,0.980,0.999,0.753,43.770,36.068
0.066,0.985,0.995,0.747,43.759,36.084
0.046,0.991,0.976,0.745,43.789,36.057
0.051,0.988,1.010,0.745,44.233,36.085
0.046,0.989,0.995,0.761,43.927,36.065
0.039,0.992,1.016,0.758,43.790,36.083
0.035,0.993,1.066,0.755,43.735,36.053
0.038,0.992,0.993,0.753,43.900,36.083
0.029,0.994,1.038,0.761,44.164,36.051
0.023,0.995,1.030,0.758,43.849,36.063
0.025,0.995,1.007,0.760,43.826,36.059
0.022,0.996,1.018,0.760,43.731,36.064
0.017,0.996,1.002,0.764,43.697,36.065
0.020,0.996,0.992,0.776,44.274,36.075
0.018,0.996,1.039,0.756,43.762,36.060
0.016,0.997,1.018,0.762,43.768,36.061
0.015,0.998,0.996,0.766,43.688,36.084
0.011,0.998,0.982,0.759,43.818,36.057
0.012,0.999,0.990,0.771,44.495,36.077
0.010,0.998,1.003,0.765,43.825,36.071
0.007,0.999,1.029,0.753,43.675,36.056
0.008,0.999,1.002,0.763,43.843,36.068
0.008,0.999,1.023,0.758,43.692,36.079
0.009,0.999,1.023,0.761,44.255,36.069
0.008,0.999,1.014,0.762,44.049,36.075
0.007,0.999,1.008,0.760,43.783,36.067
0.008,0.999,1.019,0.766,43.754,36.063
0.008,0.999,1.025,0.768,43.755,36.067
0.008,0.998,1.032,0.762,44.745,36.079
0.008,0.999,1.030,0.762,44.721,36.052
0.007,0.999,1.020,0.768,44.541,36.064
0.006,0.999,1.020,0.766,44.094,36.057
0.007,0.999,1.013,0.760,43.857,36.068
