Loss,Acc,VLoss,Vacc,ETime,GTime
4.382,0.143,2.392,0.438,43.738,35.833
1.698,0.566,1.223,0.652,43.338,35.820
0.832,0.777,0.953,0.717,43.675,36.083
0.484,0.868,0.879,0.750,43.558,35.926
0.298,0.929,0.803,0.780,43.836,35.998
0.183,0.960,0.827,0.780,44.080,35.987
0.127,0.976,0.816,0.762,43.666,35.984
0.097,0.983,0.816,0.779,43.627,35.981
0.070,0.990,0.831,0.776,43.537,35.974
0.057,0.993,0.793,0.783,43.625,35.999
0.047,0.992,0.839,0.785,44.021,35.997
0.040,0.995,0.807,0.795,43.615,35.974
0.035,0.997,0.802,0.788,43.600,35.981
0.030,0.997,0.817,0.785,43.528,35.983
0.026,0.998,0.813,0.782,43.663,35.999
0.025,0.997,0.802,0.794,44.099,35.986
0.023,0.997,0.804,0.789,43.769,35.978
0.020,0.999,0.808,0.796,43.688,35.968
0.022,0.997,0.810,0.796,43.561,35.989
0.019,0.998,0.822,0.799,43.580,35.988
