#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,1.000,3,0.000,23,0.000,2,0.000,8,0.000
3,1,1.000,23,0.000,8,0.000,3,0.000,52,0.000
6,1,1.000,3,0.000,8,0.000,23,0.000,45,0.000
10,3,1.000,45,0.000,1,0.000,2,0.000,8,0.000
12,1,1.000,23,0.000,3,0.000,8,0.000,72,0.000
13,71,0.953,3,0.018,2,0.012,59,0.005,62,0.002
14,1,1.000,23,0.000,72,0.000,8,0.000,52,0.000
16,1,1.000,3,0.000,23,0.000,2,0.000,72,0.000
17,1,0.999,3,0.000,46,0.000,23,0.000,2,0.000
19,1,1.000,23,0.000,3,0.000,8,0.000,45,0.000
22,1,1.000,3,0.000,23,0.000,8,0.000,45,0.000
24,1,1.000,23,0.000,3,0.000,8,0.000,2,0.000
25,3,0.999,2,0.000,1,0.000,71,0.000,45,0.000
26,1,0.993,3,0.007,45,0.000,8,0.000,23,0.000
27,1,0.895,2,0.050,72,0.040,3,0.015,71,0.001
28,1,0.998,3,0.001,23,0.001,8,0.000,72,0.000
29,3,0.416,1,0.295,23,0.176,72,0.090,44,0.012
33,3,0.775,1,0.197,8,0.021,23,0.005,72,0.002
34,1,0.999,3,0.000,45,0.000,2,0.000,72,0.000
38,1,1.000,23,0.000,8,0.000,3,0.000,72,0.000
39,1,1.000,3,0.000,23,0.000,45,0.000,8,0.000
44,3,0.551,1,0.447,2,0.001,45,0.000,72,0.000
45,1,0.999,3,0.001,23,0.000,2,0.000,72,0.000
47,23,0.999,1,0.001,25,0.000,44,0.000,100,0.000
48,2,0.312,3,0.293,1,0.209,44,0.109,71,0.034
50,1,0.569,2,0.417,3,0.014,44,0.000,23,0.000
52,3,0.999,2,0.000,45,0.000,1,0.000,71,0.000
54,1,1.000,23,0.000,3,0.000,52,0.000,72,0.000
57,1,0.462,23,0.440,72,0.067,44,0.017,3,0.010
59,1,1.000,8,0.000,3,0.000,45,0.000,23,0.000
61,1,0.740,3,0.229,2,0.030,45,0.001,23,0.000
63,2,1.000,3,0.000,71,0.000,66,0.000,1,0.000
65,2,1.000,66,0.000,84,0.000,65,0.000,59,0.000
68,2,0.968,71,0.016,59,0.006,3,0.004,84,0.003
70,144,0.773,90,0.090,53,0.052,101,0.022,143,0.021
71,2,0.998,66,0.001,59,0.001,84,0.000,44,0.000
76,2,1.000,44,0.000,1,0.000,3,0.000,71,0.000
79,2,1.000,3,0.000,71,0.000,1,0.000,59,0.000
82,84,1.000,63,0.000,45,0.000,177,0.000,185,0.000
83,2,1.000,71,0.000,44,0.000,3,0.000,1,0.000
85,2,0.991,59,0.006,66,0.002,84,0.001,62,0.000
87,84,0.812,45,0.108,65,0.079,62,0.001,60,0.000
88,110,0.838,194,0.159,190,0.002,72,0.001,100,0.000
90,2,1.000,71,0.000,3,0.000,44,0.000,65,0.000
91,86,0.538,23,0.422,1,0.014,46,0.011,72,0.008
92,2,1.000,65,0.000,66,0.000,84,0.000,1,0.000
93,2,0.999,3,0.000,44,0.000,66,0.000,59,0.000
94,2,0.990,59,0.007,66,0.001,71,0.001,3,0.000
95,3,0.960,71,0.008,45,0.007,72,0.005,2,0.003
98,2,0.968,71,0.023,59,0.007,44,0.001,66,0.000
100,2,1.000,1,0.000,101,0.000,44,0.000,100,0.000
101,2,0.545,1,0.384,3,0.059,44,0.005,23,0.004
103,2,0.999,84,0.001,3,0.000,1,0.000,59,0.000
106,3,0.908,2,0.050,1,0.041,23,0.000,44,0.000
107,2,1.000,44,0.000,59,0.000,101,0.000,66,0.000
108,3,0.877,2,0.082,44,0.011,1,0.010,84,0.007
112,2,0.999,71,0.001,59,0.000,65,0.000,44,0.000
114,2,0.636,1,0.355,3,0.009,84,0.000,45,0.000
118,2,1.000,59,0.000,101,0.000,84,0.000,62,0.000
119,2,0.972,65,0.026,71,0.001,66,0.000,59,0.000
126,3,1.000,71,0.000,2,0.000,142,0.000,45,0.000
129,3,0.995,142,0.003,103,0.001,71,0.000,2,0.000
130,3,1.000,1,0.000,2,0.000,45,0.000,71,0.000
132,3,1.000,142,0.000,45,0.000,1,0.000,71,0.000
133,3,0.982,2,0.009,1,0.005,71,0.002,45,0.001
134,3,1.000,45,0.000,72,0.000,71,0.000,1,0.000
135,3,0.999,1,0.000,2,0.000,71,0.000,72,0.000
139,3,1.000,45,0.000,5,0.000,8,0.000,1,0.000
144,3,1.000,142,0.000,58,0.000,61,0.000,66,0.000
146,3,1.000,45,0.000,5,0.000,2,0.000,1,0.000
147,3,1.000,2,0.000,71,0.000,1,0.000,45,0.000
149,3,1.000,72,0.000,1,0.000,71,0.000,2,0.000
150,3,0.968,2,0.028,1,0.002,45,0.002,71,0.000
154,3,0.456,1,0.429,46,0.096,71,0.004,45,0.004
155,3,0.669,1,0.176,2,0.155,71,0.000,45,0.000
156,3,0.522,1,0.476,23,0.001,45,0.000,2,0.000
