Loss,Acc,VLoss,Vacc,ETime,GTime
5.292,0.008,5.258,0.024,16.155,10.277
5.120,0.015,4.754,0.035,15.290,9.865
4.493,0.042,3.561,0.111,15.251,9.879
3.694,0.108,2.826,0.229,15.240,9.913
3.118,0.190,2.323,0.334,15.337,9.938
2.747,0.254,2.034,0.399,15.996,9.957
2.439,0.313,1.766,0.464,15.342,9.936
2.161,0.376,1.637,0.514,15.260,9.920
1.953,0.428,1.452,0.550,15.284,9.920
1.760,0.471,1.342,0.574,15.297,9.920
1.613,0.520,1.302,0.607,16.064,9.937
1.497,0.549,1.245,0.613,15.746,9.947
1.334,0.593,1.258,0.619,15.292,9.937
1.250,0.619,1.247,0.617,15.315,9.926
1.139,0.650,1.225,0.648,15.356,9.932
1.078,0.671,1.186,0.660,16.034,9.936
0.976,0.695,1.135,0.668,15.656,9.939
0.911,0.719,1.214,0.651,15.319,9.931
0.850,0.741,1.214,0.662,15.253,9.934
0.784,0.760,1.215,0.668,15.359,9.941
0.732,0.773,1.174,0.683,15.992,9.944
0.694,0.792,1.162,0.674,15.754,9.921
0.646,0.801,1.172,0.680,15.249,9.924
0.580,0.828,1.180,0.694,15.284,9.939
0.515,0.844,1.176,0.692,15.404,9.947
0.521,0.844,1.292,0.689,16.026,9.928
0.502,0.849,1.222,0.681,15.768,9.932
0.459,0.864,1.271,0.693,15.432,9.948
0.442,0.873,1.274,0.697,15.412,9.932
0.394,0.888,1.286,0.695,15.389,9.945
0.385,0.888,1.340,0.709,16.085,9.935
0.375,0.889,1.328,0.683,16.087,9.932
0.322,0.906,1.281,0.691,15.485,9.944
0.307,0.912,1.329,0.708,15.386,9.944
0.279,0.922,1.290,0.697,15.307,9.941
0.272,0.920,1.318,0.698,15.982,9.936
0.279,0.925,1.338,0.710,15.686,9.920
0.267,0.922,1.359,0.709,15.340,9.939
0.263,0.924,1.386,0.713,15.302,9.944
0.253,0.929,1.321,0.704,15.333,9.934
