#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.697,1,0.274,66,0.021,3,0.006,65,0.001
3,1,0.994,3,0.004,8,0.001,45,0.001,2,0.000
6,2,0.747,1,0.218,65,0.024,72,0.004,45,0.002
10,3,0.676,1,0.304,2,0.016,71,0.003,66,0.001
12,1,0.943,2,0.045,3,0.009,45,0.001,72,0.001
13,3,0.213,1,0.208,60,0.136,142,0.071,23,0.054
14,1,0.994,2,0.006,3,0.001,45,0.000,72,0.000
16,1,0.929,3,0.036,45,0.021,2,0.008,72,0.004
17,1,0.995,71,0.003,66,0.000,2,0.000,3,0.000
19,1,0.996,3,0.003,8,0.001,45,0.000,72,0.000
22,1,0.980,2,0.015,65,0.001,45,0.001,3,0.001
24,1,0.998,8,0.001,45,0.000,72,0.000,3,0.000
25,1,0.663,2,0.317,3,0.015,72,0.003,45,0.001
26,3,0.602,1,0.374,45,0.016,71,0.002,66,0.002
27,1,0.920,3,0.039,72,0.023,2,0.016,45,0.001
28,1,0.924,3,0.062,91,0.002,2,0.002,23,0.002
29,3,0.917,1,0.064,2,0.010,72,0.004,45,0.003
33,3,0.788,1,0.126,72,0.053,45,0.023,8,0.002
34,1,0.983,2,0.016,3,0.001,45,0.000,66,0.000
38,1,0.902,8,0.075,72,0.015,23,0.004,3,0.003
39,1,0.914,3,0.059,45,0.026,2,0.001,72,0.000
44,1,0.506,45,0.377,3,0.065,2,0.045,72,0.006
45,1,0.987,2,0.008,3,0.005,72,0.000,23,0.000
47,1,0.726,2,0.257,100,0.007,44,0.003,23,0.003
48,3,0.986,1,0.004,72,0.004,2,0.002,71,0.001
50,1,0.953,2,0.029,3,0.017,71,0.001,72,0.000
52,3,0.986,72,0.006,44,0.004,2,0.002,1,0.001
54,1,0.956,2,0.029,3,0.011,72,0.003,45,0.000
57,1,0.830,72,0.080,2,0.074,3,0.009,45,0.004
59,1,0.999,2,0.000,45,0.000,8,0.000,72,0.000
61,2,0.924,3,0.034,1,0.027,71,0.011,44,0.002
63,2,0.983,66,0.011,3,0.002,1,0.002,59,0.001
65,2,0.997,66,0.002,65,0.001,84,0.000,1,0.000
68,2,0.996,71,0.001,44,0.001,65,0.001,59,0.000
70,2,0.343,62,0.305,3,0.151,186,0.043,44,0.043
71,2,0.959,66,0.021,59,0.010,44,0.006,65,0.003
76,2,0.999,84,0.000,66,0.000,3,0.000,1,0.000
79,2,0.964,1,0.031,66,0.003,72,0.001,3,0.001
82,2,0.940,45,0.018,84,0.014,1,0.008,59,0.006
83,2,1.000,100,0.000,44,0.000,66,0.000,65,0.000
85,2,0.997,65,0.002,66,0.001,59,0.000,84,0.000
87,84,0.570,65,0.145,66,0.108,2,0.081,45,0.045
88,110,0.279,194,0.129,65,0.100,62,0.077,52,0.055
90,2,0.992,66,0.007,59,0.000,1,0.000,71,0.000
91,23,0.445,1,0.233,3,0.174,72,0.037,137,0.022
92,2,0.972,66,0.026,65,0.002,1,0.000,59,0.000
93,2,0.999,66,0.000,65,0.000,59,0.000,44,0.000
94,2,0.985,66,0.011,59,0.003,65,0.001,44,0.000
95,3,0.792,2,0.188,71,0.014,62,0.002,135,0.001
98,2,0.970,66,0.013,59,0.009,65,0.004,45,0.001
100,2,0.935,66,0.031,1,0.025,65,0.006,45,0.001
101,3,0.714,2,0.208,1,0.068,45,0.004,72,0.002
103,2,0.998,3,0.001,1,0.001,66,0.000,84,0.000
106,2,0.982,66,0.013,1,0.002,3,0.002,84,0.000
107,2,0.997,66,0.002,1,0.001,65,0.000,3,0.000
108,3,0.703,2,0.246,1,0.042,45,0.004,72,0.003
112,2,0.976,59,0.012,66,0.004,44,0.003,62,0.003
114,2,0.820,1,0.175,3,0.004,66,0.000,45,0.000
118,2,0.997,84,0.001,59,0.001,66,0.000,63,0.000
119,2,0.992,66,0.006,59,0.001,65,0.001,84,0.000
126,3,0.997,71,0.001,45,0.001,84,0.000,2,0.000
129,3,0.688,71,0.196,135,0.027,2,0.020,31,0.018
130,3,0.982,1,0.007,72,0.007,2,0.003,71,0.000
132,3,0.998,1,0.001,71,0.000,2,0.000,45,0.000
133,3,0.913,2,0.055,71,0.020,1,0.010,72,0.001
134,3,0.876,45,0.115,72,0.003,1,0.003,71,0.001
135,3,0.989,71,0.007,1,0.003,72,0.001,2,0.000
139,3,0.973,45,0.013,71,0.002,135,0.002,9,0.002
144,3,0.996,9,0.002,66,0.001,5,0.000,61,0.000
146,3,0.885,71,0.065,62,0.017,2,0.006,141,0.004
147,3,0.989,1,0.005,71,0.003,5,0.000,45,0.000
149,3,0.968,72,0.018,1,0.011,45,0.001,23,0.001
150,3,0.940,1,0.038,62,0.003,185,0.003,45,0.003
154,3,0.416,1,0.121,84,0.081,72,0.077,71,0.076
155,3,0.670,1,0.282,2,0.046,71,0.002,72,0.000
156,3,0.619,1,0.346,45,0.027,2,0.001,25,0.001
