Loss,Acc,VLoss,Vacc,ETime,GTime
4.607,0.109,2.776,0.339,33.897,25.959
2.076,0.478,1.417,0.611,33.247,25.751
1.097,0.698,1.068,0.690,33.352,25.799
0.695,0.805,0.949,0.731,33.331,25.724
0.429,0.889,0.849,0.752,33.284,25.749
0.323,0.920,0.790,0.772,33.565,25.764
0.228,0.946,0.817,0.771,33.246,25.739
0.175,0.962,0.794,0.780,33.234,25.738
0.122,0.977,0.766,0.800,33.192,25.740
0.096,0.983,0.739,0.800,33.173,25.747
0.081,0.987,0.779,0.791,33.835,25.744
0.072,0.988,0.777,0.790,33.160,25.735
0.052,0.993,0.764,0.799,33.156,25.733
0.047,0.994,0.759,0.806,33.219,25.733
0.043,0.994,0.760,0.804,33.241,25.740
0.037,0.996,0.770,0.796,34.051,25.752
0.035,0.996,0.779,0.801,33.250,25.743
0.034,0.996,0.764,0.802,33.313,25.752
0.028,0.997,0.765,0.797,33.196,25.736
0.027,0.997,0.760,0.799,33.182,25.732
