#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,1,0.937,2,0.051,3,0.005,66,0.004,65,0.001
3,1,0.998,3,0.002,2,0.000,71,0.000,8,0.000
6,1,0.999,2,0.000,23,0.000,72,0.000,65,0.000
10,3,0.868,1,0.072,2,0.057,66,0.001,45,0.001
12,1,0.999,72,0.000,3,0.000,2,0.000,45,0.000
13,61,0.666,46,0.136,3,0.066,62,0.027,66,0.024
14,1,1.000,3,0.000,23,0.000,8,0.000,45,0.000
16,1,0.988,3,0.011,2,0.000,23,0.000,45,0.000
17,1,1.000,3,0.000,45,0.000,23,0.000,72,0.000
19,1,1.000,3,0.000,45,0.000,2,0.000,65,0.000
22,1,0.999,2,0.001,3,0.000,45,0.000,65,0.000
24,1,1.000,3,0.000,2,0.000,45,0.000,72,0.000
25,1,0.944,2,0.050,72,0.004,3,0.001,65,0.000
26,1,0.526,3,0.472,45,0.001,2,0.000,66,0.000
27,1,0.967,72,0.018,2,0.008,3,0.005,23,0.001
28,1,0.978,23,0.017,44,0.001,32,0.001,8,0.001
29,1,0.586,45,0.236,3,0.152,72,0.023,25,0.002
33,1,0.792,3,0.179,58,0.020,8,0.003,23,0.001
34,1,0.969,2,0.015,3,0.010,66,0.002,45,0.001
38,1,0.998,3,0.001,72,0.000,2,0.000,8,0.000
39,1,0.999,3,0.001,45,0.000,72,0.000,2,0.000
44,1,0.988,3,0.008,2,0.003,45,0.001,72,0.000
45,1,0.962,3,0.038,2,0.000,23,0.000,45,0.000
47,1,0.640,72,0.105,2,0.082,23,0.057,44,0.027
48,1,0.456,3,0.390,2,0.128,44,0.017,45,0.003
50,1,0.639,3,0.354,2,0.005,71,0.001,45,0.001
52,3,0.990,1,0.007,72,0.001,2,0.001,45,0.000
54,1,0.999,23,0.000,3,0.000,45,0.000,72,0.000
57,72,0.401,45,0.220,1,0.137,2,0.094,44,0.064
59,1,0.988,45,0.010,8,0.002,3,0.000,72,0.000
61,1,0.896,2,0.076,3,0.018,45,0.008,23,0.000
63,2,0.999,66,0.001,3,0.000,59,0.000,1,0.000
65,2,1.000,65,0.000,66,0.000,45,0.000,3,0.000
68,2,0.954,71,0.017,45,0.015,84,0.004,59,0.003
70,143,0.431,101,0.227,59,0.161,3,0.051,145,0.037
71,2,0.480,66,0.268,44,0.137,65,0.085,59,0.019
76,2,1.000,3,0.000,66,0.000,65,0.000,59,0.000
79,2,0.990,3,0.005,1,0.004,45,0.001,66,0.000
82,2,0.700,3,0.155,84,0.057,45,0.053,71,0.013
83,2,1.000,100,0.000,44,0.000,65,0.000,71,0.000
85,2,0.998,66,0.001,65,0.001,1,0.000,100,0.000
87,84,0.744,65,0.113,45,0.049,66,0.035,62,0.018
88,199,0.380,110,0.093,3,0.056,2,0.040,34,0.033
90,2,0.929,66,0.070,59,0.001,3,0.000,44,0.000
91,25,0.216,1,0.180,50,0.177,58,0.131,3,0.084
92,2,0.994,65,0.002,66,0.001,1,0.001,3,0.000
93,2,1.000,3,0.000,65,0.000,59,0.000,44,0.000
94,2,0.685,66,0.297,59,0.015,44,0.001,3,0.000
95,3,0.939,2,0.057,45,0.001,63,0.001,84,0.000
98,2,0.727,59,0.208,65,0.028,45,0.011,66,0.007
100,2,0.999,3,0.000,1,0.000,65,0.000,45,0.000
101,45,0.450,3,0.379,84,0.081,1,0.032,2,0.012
103,2,0.995,3,0.003,1,0.001,59,0.000,66,0.000
106,2,0.999,3,0.001,66,0.000,1,0.000,84,0.000
107,2,1.000,44,0.000,3,0.000,65,0.000,1,0.000
108,3,0.604,2,0.388,45,0.004,1,0.003,84,0.001
112,2,0.992,59,0.007,65,0.001,3,0.000,71,0.000
114,1,0.734,2,0.231,45,0.014,3,0.014,72,0.002
118,2,0.954,66,0.021,3,0.007,59,0.006,71,0.004
119,2,0.938,66,0.027,59,0.022,3,0.006,65,0.002
126,3,0.998,45,0.001,2,0.001,84,0.000,71,0.000
129,3,0.999,2,0.000,71,0.000,62,0.000,45,0.000
130,3,0.993,2,0.006,1,0.001,66,0.000,84,0.000
132,3,1.000,2,0.000,84,0.000,1,0.000,45,0.000
133,3,0.982,2,0.013,1,0.004,45,0.001,71,0.000
134,3,0.996,45,0.003,84,0.001,1,0.000,63,0.000
