#mod db: cub_sm
#run db: cub_sm_tst
ImageId,Class0,Prob0,Class1,Prob1,Class2,Prob2,Class3,Prob3,Class4,Prob4
1,2,0.854,1,0.080,3,0.023,65,0.015,66,0.006
3,1,0.946,3,0.023,2,0.018,45,0.007,72,0.002
6,2,0.494,1,0.400,72,0.043,65,0.019,45,0.015
10,3,0.470,1,0.237,2,0.232,65,0.011,71,0.006
12,1,0.932,3,0.031,45,0.011,72,0.007,2,0.007
13,2,0.243,61,0.181,62,0.106,3,0.099,71,0.062
14,1,0.724,3,0.174,45,0.054,2,0.031,72,0.006
16,1,0.752,3,0.101,23,0.075,2,0.016,65,0.010
17,1,0.908,3,0.017,65,0.012,72,0.009,45,0.008
19,1,0.906,3,0.030,2,0.028,45,0.018,65,0.006
22,1,0.836,2,0.114,65,0.019,3,0.011,45,0.008
24,1,0.855,2,0.073,3,0.038,45,0.018,65,0.006
25,1,0.869,3,0.043,72,0.026,2,0.024,45,0.011
26,1,0.587,3,0.262,45,0.065,2,0.062,65,0.004
27,1,0.659,72,0.170,2,0.065,3,0.027,23,0.026
28,1,0.689,3,0.117,2,0.043,8,0.036,45,0.026
29,3,0.594,1,0.232,72,0.042,45,0.039,2,0.019
33,1,0.384,3,0.344,23,0.113,72,0.031,44,0.022
34,1,0.863,2,0.069,3,0.026,45,0.013,65,0.011
38,1,0.838,3,0.086,2,0.034,72,0.018,45,0.012
39,1,0.915,3,0.063,45,0.010,2,0.006,72,0.003
44,1,0.634,45,0.233,3,0.093,2,0.022,72,0.013
45,1,0.593,3,0.272,2,0.088,23,0.016,72,0.007
47,2,0.764,1,0.158,72,0.014,65,0.013,71,0.008
48,3,0.528,2,0.221,1,0.070,71,0.057,72,0.050
50,1,0.894,3,0.064,2,0.024,45,0.007,72,0.003
52,3,0.468,2,0.329,1,0.059,44,0.053,72,0.037
54,1,0.897,3,0.037,72,0.031,23,0.013,2,0.010
57,2,0.333,3,0.239,72,0.213,1,0.113,45,0.038
59,1,0.776,45,0.160,72,0.022,3,0.022,2,0.009
61,2,0.496,3,0.243,1,0.147,72,0.036,45,0.029
63,2,0.945,66,0.013,3,0.008,65,0.006,59,0.005
65,2,0.963,1,0.008,3,0.007,65,0.004,84,0.003
68,2,0.894,71,0.031,3,0.017,45,0.014,84,0.007
70,101,0.208,2,0.202,3,0.118,143,0.085,100,0.069
71,2,0.426,44,0.204,66,0.157,65,0.125,59,0.042
76,2,0.985,66,0.004,59,0.002,3,0.002,65,0.001
79,2,0.839,1,0.052,65,0.031,3,0.029,72,0.015
82,2,0.586,3,0.154,45,0.089,84,0.059,1,0.029
83,2,0.990,44,0.007,100,0.001,72,0.000,65,0.000
85,2,0.895,65,0.041,66,0.023,84,0.010,45,0.006
87,62,0.223,84,0.183,66,0.146,2,0.090,65,0.087
88,110,0.175,194,0.074,2,0.074,65,0.046,28,0.046
90,2,0.911,66,0.048,59,0.016,65,0.006,62,0.004
91,25,0.194,23,0.183,1,0.137,3,0.108,8,0.084
92,2,0.932,66,0.015,65,0.013,1,0.008,3,0.006
93,2,0.987,65,0.003,3,0.002,66,0.002,59,0.002
94,2,0.928,66,0.042,59,0.012,44,0.006,65,0.005
95,2,0.746,3,0.173,71,0.012,62,0.011,1,0.008
98,2,0.860,66,0.035,65,0.032,59,0.025,84,0.008
100,2,0.829,65,0.040,66,0.030,3,0.024,62,0.020
101,3,0.466,2,0.203,1,0.159,45,0.051,72,0.044
103,2,0.908,3,0.023,44,0.018,1,0.009,66,0.009
106,2,0.965,3,0.019,1,0.005,84,0.003,66,0.002
107,2,0.989,3,0.003,66,0.002,1,0.001,62,0.001
108,2,0.898,3,0.068,1,0.024,72,0.003,44,0.002
112,2,0.955,3,0.012,59,0.009,66,0.008,62,0.003
114,2,0.581,1,0.244,3,0.122,72,0.019,45,0.011
118,2,0.893,66,0.041,59,0.016,62,0.013,3,0.012
119,2,0.865,66,0.042,59,0.022,84,0.021,65,0.018
126,3,0.857,84,0.055,45,0.047,2,0.026,1,0.003
129,3,0.878,2,0.029,71,0.023,1,0.009,84,0.008
130,3,0.913,1,0.043,2,0.036,45,0.003,72,0.001
132,3,0.982,2,0.006,1,0.004,84,0.003,66,0.001
133,3,0.599,2,0.269,1,0.049,71,0.039,45,0.011
134,3,0.974,1,0.008,45,0.006,2,0.005,84,0.001
135,3,0.968,1,0.023,2,0.005,45,0.002,71,0.000
139,3,0.432,45,0.143,2,0.141,1,0.048,71,0.017
144,3,0.928,2,0.031,1,0.018,45,0.008,66,0.003
146,3,0.850,2,0.117,1,0.008,45,0.008,71,0.004
147,3,0.695,2,0.153,1,0.111,65,0.008,71,0.006
149,3,0.699,1,0.242,72,0.039,45,0.008,71,0.005
150,3,0.897,2,0.038,45,0.035,1,0.011,62,0.004
154,3,0.256,71,0.137,2,0.107,65,0.077,106,0.070
155,3,0.936,1,0.036,2,0.024,45,0.002,71,0.001
156,1,0.231,3,0.173,23,0.132,8,0.106,58,0.102
157,3,0.804,1,0.166,45,0.014,2,0.012,72,0.001
161,3,0.884,1,0.070,2,0.028,45,0.013,72,0.001
162,45,0.604,3,0.195,1,0.119,72,0.048,65,0.009
163,1,0.863,3,0.092,2,0.022,45,0.006,72,0.005
165,3,0.904,45,0.051,2,0.024,1,0.012,84,0.002
167,3,0.727,2,0.198,1,0.066,45,0.004,71,0.001
169,3,0.905,1,0.037,2,0.033,45,0.018,71,0.005
170,3,0.949,1,0.025,71,0.012,2,0.006,72,0.003
171,3,0.810,8,0.035,58,0.032,5,0.021,7,0.012
173,3,0.931,1,0.043,2,0.019,45,0.002,71,0.002
175,3,0.983,1,0.008,2,0.004,71,0.002,86,0.001
178,3,0.791,1,0.197,2,0.005,45,0.003,72,0.001
179,4,0.784,30,0.092,27,0.059,26,0.028,29,0.012
180,4,0.984,27,0.005,30,0.005,26,0.002,107,0.001
183,4,0.510,27,0.100,109,0.040,170,0.036,6,0.022
185,4,0.970,27,0.016,30,0.006,26,0.003,108,0.001
186,4,0.971,27,0.016,30,0.003,26,0.002,11,0.001
190,4,0.911,29,0.020,30,0.018,107,0.016,26,0.013
191,4,0.465,30,0.201,13,0.187,32,0.036,33,0.015
192,4,0.979,30,0.010,27,0.005,26,0.002,13,0.001
193,4,0.980,27,0.007,26,0.004,30,0.003,13,0.001
198,4,0.767,187,0.036,27,0.024,30,0.013,92,0.008
199,4,0.994,30,0.004,27,0.001,107,0.000,29,0.000
200,4,0.990,27,0.004,26,0.002,30,0.002,107,0.000
201,4,0.913,30,0.053,27,0.022,29,0.003,26,0.002
205,4,0.649,107,0.164,30,0.086,108,0.046,29,0.031
207,4,0.989,27,0.006,30,0.001,26,0.001,54,0.001
208,4,0.976,26,0.009,27,0.007,30,0.001,29,0.001
210,4,0.880,30,0.043,27,0.042,29,0.010,11,0.006
211,4,0.945,30,0.023,26,0.007,27,0.006,11,0.002
212,4,0.978,30,0.006,27,0.002,32,0.002,92,0.001
214,4,0.987,30,0.007,27,0.004,107,0.001,26,0.001
217,4,0.821,30,0.071,108,0.029,107,0.023,29,0.012
219,4,0.870,30,0.024,108,0.020,107,0.014,44,0.007
223,4,0.472,29,0.165,30,0.104,107,0.090,108,0.054
226,4,0.753,30,0.105,107,0.072,27,0.040,29,0.011
229,4,0.935,22,0.019,92,0.011,30,0.006,105,0.005
231,4,0.578,30,0.234,107,0.098,29,0.019,108,0.017
233,4,0.787,30,0.058,27,0.037,26,0.024,11,0.019
234,4,0.939,30,0.020,27,0.014,107,0.011,29,0.008
236,4,0.901,30,0.038,27,0.023,108,0.012,107,0.009
237,4,0.973,27,0.012,30,0.005,26,0.003,107,0.002
239,5,0.838,24,0.072,8,0.036,58,0.020,7,0.009
240,5,0.986,24,0.005,7,0.004,58,0.001,3,0.001
244,8,0.663,58,0.059,86,0.036,7,0.033,3,0.031
246,5,0.929,24,0.016,10,0.013,8,0.011,7,0.009
251,5,0.974,7,0.012,24,0.004,8,0.001,58,0.000
252,5,0.899,7,0.080,6,0.006,8,0.003,58,0.003
255,5,0.952,7,0.018,8,0.013,58,0.010,24,0.002
259,5,0.903,7,0.081,24,0.006,58,0.002,106,0.002
260,5,0.957,24,0.028,7,0.009,58,0.001,10,0.001
265,5,0.766,7,0.203,8,0.009,24,0.005,58,0.003
271,5,0.451,24,0.291,25,0.062,58,0.058,10,0.056
277,5,0.972,24,0.008,7,0.006,58,0.003,8,0.002
279,5,0.877,7,0.108,24,0.003,8,0.002,58,0.001
282,5,0.667,7,0.161,8,0.110,24,0.009,58,0.006
286,6,0.929,7,0.056,58,0.004,9,0.002,11,0.001
292,6,0.953,7,0.013,120,0.005,58,0.005,9,0.003
298,7,0.529,6,0.303,58,0.035,187,0.010,106,0.007
300,6,0.839,7,0.083,187,0.022,58,0.011,190,0.008
304,6,0.689,7,0.203,58,0.057,8,0.008,40,0.004
308,6,0.975,7,0.006,187,0.004,8,0.003,58,0.002
309,6,0.973,7,0.005,81,0.003,150,0.002,187,0.001
311,8,0.764,6,0.149,58,0.016,25,0.015,72,0.010
312,6,0.961,7,0.028,58,0.004,9,0.001,120,0.001
314,6,0.878,7,0.097,58,0.007,81,0.002,120,0.001
315,6,0.912,40,0.039,7,0.013,92,0.007,128,0.004
325,7,0.923,58,0.043,6,0.012,5,0.003,141,0.002
329,7,0.808,58,0.101,8,0.024,65,0.022,5,0.012
330,7,0.955,5,0.012,58,0.007,6,0.004,8,0.003
337,7,0.972,6,0.010,58,0.004,5,0.003,8,0.003
