Loss,Acc,VLoss,Vacc,ETime,GTime
4.411,0.146,2.395,0.423,44.293,35.963
1.690,0.569,1.224,0.671,43.452,35.834
0.835,0.769,0.948,0.742,43.808,36.169
0.486,0.871,0.883,0.755,43.898,36.286
0.297,0.928,0.844,0.766,43.802,36.202
0.189,0.956,0.861,0.769,44.117,36.255
0.131,0.973,0.851,0.778,43.902,36.221
0.097,0.981,0.851,0.785,43.942,36.243
0.076,0.987,0.841,0.786,43.922,36.232
0.052,0.993,0.827,0.789,43.945,36.240
0.043,0.994,0.833,0.790,44.374,36.235
0.039,0.994,0.850,0.783,44.115,36.249
0.032,0.996,0.834,0.799,43.963,36.234
0.029,0.997,0.857,0.785,43.888,36.229
0.026,0.997,0.830,0.796,43.934,36.227
0.023,0.997,0.848,0.793,44.332,36.255
0.019,0.998,0.836,0.801,44.024,36.237
0.019,0.998,0.864,0.791,43.759,36.242
0.014,0.999,0.860,0.797,43.925,36.245
0.015,0.998,0.879,0.800,43.960,36.232
