Loss,Acc,VLoss,Vacc,ETime,GTime
6.039,0.009,5.014,0.040,71.136,39.379
4.440,0.074,3.379,0.175,69.748,39.536
3.505,0.161,2.709,0.282,69.963,39.528
2.946,0.250,2.330,0.364,69.705,39.563
2.497,0.334,1.994,0.444,69.701,39.523
2.184,0.398,1.902,0.467,70.513,39.514
1.965,0.448,1.748,0.499,69.910,39.529
1.790,0.492,1.677,0.525,69.832,39.534
1.572,0.542,1.560,0.568,69.745,39.537
1.424,0.576,1.529,0.572,69.645,39.518
1.317,0.609,1.506,0.583,71.189,39.551
1.232,0.634,1.507,0.582,70.385,39.532
1.091,0.668,1.458,0.608,70.132,39.536
1.009,0.693,1.446,0.604,69.724,39.526
0.955,0.707,1.472,0.614,70.107,39.541
0.886,0.731,1.507,0.609,71.811,39.588
0.794,0.756,1.497,0.615,70.078,39.535
0.736,0.772,1.466,0.641,69.928,39.526
0.700,0.786,1.497,0.625,69.954,39.530
0.654,0.797,1.522,0.630,69.730,39.522
0.590,0.814,1.534,0.644,71.103,39.517
0.562,0.826,1.551,0.644,69.814,39.507
0.539,0.834,1.533,0.639,69.878,39.514
0.505,0.847,1.524,0.653,70.844,39.528
0.462,0.858,1.514,0.652,69.786,39.518
0.433,0.868,1.593,0.646,71.233,39.543
0.405,0.876,1.662,0.650,70.538,39.609
0.393,0.879,1.606,0.658,70.055,39.533
0.354,0.891,1.576,0.661,69.868,39.523
0.331,0.898,1.725,0.656,69.703,39.552
0.328,0.897,1.638,0.666,71.544,39.535
0.297,0.909,1.683,0.660,69.815,39.522
0.281,0.913,1.757,0.661,69.757,39.522
0.261,0.920,1.729,0.667,70.057,39.528
0.255,0.924,1.649,0.673,69.762,39.525
0.256,0.926,1.739,0.664,71.973,39.516
0.231,0.930,1.768,0.667,70.032,39.519
0.230,0.932,1.744,0.670,69.793,39.544
0.204,0.941,1.741,0.667,69.804,39.513
0.205,0.940,1.736,0.666,69.590,39.509
